Unnamed: 0,year,ownershipd,perwt,age,sex,marstd,edattaind,occ
658109,1989,999,5.56,0,1,100,0,99
856470,1989,999,5.59,24,2,200,221,99
376383,1989,100,12.87,56,1,200,311,17
878178,1989,100,20.78,51,2,330,120,99
633238,1989,999,5.48,30,2,200,311,6
842873,1989,999,5.65,31,1,100,400,28
2264150,1989,999,8.07,47,2,100,221,20
1168629,1989,999,9.31,45,2,350,212,31
307634,1989,999,13.49,21,1,100,400,99
736901,1989,999,5.31,57,2,200,110,99
2036118,1989,999,4.38,51,2,330,110,18
1784468,1989,999,11.64,91,2,400,120,99
1160117,1989,999,33.39,41,2,350,221,8
2498579,1989,999,92.18,23,1,999,212,99
587264,1989,999,16.33,17,2,100,212,99
2460323,1989,999,11.9,66,1,400,110,14
1916561,1989,999,2.04,26,2,200,311,99
1624389,1989,999,7.21,7,1,100,110,99
2039061,1989,999,4.38,24,2,100,212,22
811841,1989,999,5.65,32,1,200,400,15
2541217,1989,999,34.75,30,2,200,120,12
1502629,1989,211,11.83,64,2,200,120,21
484210,1989,100,53.76,8,1,100,120,99
809830,1989,999,5.65,10,1,100,120,99
904976,1989,100,28.52,8,2,100,110,99
1398267,1989,999,14.27,10,1,100,120,99
371869,1989,100,12.6,28,2,200,120,24
2261457,1989,999,8.07,36,2,200,221,18
1080368,1989,999,39.08,43,2,200,120,99
1431620,1989,999,25.34,34,2,200,110,23
56396,1989,100,23.8,54,1,200,221,15
253250,1989,999,48.71,81,2,400,110,99
1131663,1989,999,6.25,32,2,400,110,99
1521692,1989,999,81.71,35,1,100,400,7
305719,1989,999,13.49,19,1,100,221,19
775404,1989,999,31.01,26,2,200,212,25
874544,1989,999,5.59,15,2,100,120,10
1821453,1989,999,20.62,10,2,100,120,99
1616817,1989,999,7.21,35,1,200,212,7
2531103,1989,999,8.64,22,1,100,311,26
1091882,1989,999,6.35,17,1,100,221,99
666141,1989,100,6.42,45,2,200,212,31
4097,1989,217,79.71,39,1,100,120,10
1131112,1989,999,6.25,32,2,200,120,25
604296,1989,100,5.48,55,2,200,120,10
1562933,1989,999,17.56,33,1,200,120,25
1942537,1989,999,14.16,2,1,100,0,99
2361367,1989,999,15.26,8,2,100,110,99
1822610,1989,999,20.62,31,2,999,110,25
1718742,1989,999,5.82,9,2,100,120,99
2485451,1989,999,22.38,20,1,100,212,99
504505,1989,100,52.75,4,2,100,0,99
527500,1989,100,6.52,83,1,400,120,32
513518,1989,100,11.58,37,2,200,110,8
760533,1989,999,5.35,2,1,100,0,99
668856,1989,100,6.17,48,1,200,212,14
2249573,1989,999,8.07,35,2,200,311,18
1964415,1989,999,14.16,12,1,100,120,99
1820540,1989,999,20.43,32,1,200,212,11
2017594,1989,999,2.71,39,1,200,400,26
318496,1989,999,13.1,0,2,100,0,99
80314,1989,100,12.15,28,2,100,110,99
1676812,1989,999,20.17,36,2,200,120,17
316071,1989,999,13.1,27,2,200,120,99
1966024,1989,999,4.09,21,1,100,221,99
532624,1989,100,6.46,5,2,100,110,99
1709723,1989,999,5.96,40,1,400,212,99
904579,1989,100,28.52,10,2,100,110,99
1882987,1989,999,2.45,35,2,330,212,23
1628831,1989,999,7.21,53,1,200,400,99
2371970,1989,999,15.66,23,1,200,110,25
2248279,1989,999,8.15,34,1,200,400,23
2489920,1989,999,21.11,11,2,100,120,99
761386,1989,999,5.31,16,2,100,120,99
1909873,1989,999,2.45,58,2,200,120,99
240238,1989,211,36.73,24,1,100,400,4
422789,1989,999,38.78,9,2,100,120,99
750988,1989,999,5.31,24,2,330,120,20
1367767,1989,999,11.47,19,2,100,311,99
1720865,1989,999,28.18,37,2,200,221,31
884769,1989,100,21.15,44,1,100,120,14
2519030,1989,999,90.35,17,2,100,212,25
997317,1989,999,27.88,31,2,200,120,25
2034325,1989,999,9.64,62,1,200,311,5
40521,1989,100,23.8,19,1,330,221,31
2479407,1989,999,27.0,28,1,200,120,27
1218871,1989,999,10.0,6,1,100,120,99
2086888,1989,999,9.03,39,1,200,110,33
1885661,1989,999,2.57,10,1,100,120,99
730023,1989,999,5.31,21,2,350,212,23
157125,1989,100,5.34,56,1,200,120,99
1397349,1989,999,14.33,33,2,200,212,25
2154216,1989,999,35.75,23,1,200,120,31
826174,1989,999,12.41,35,2,350,311,17
2577382,1989,100,38.06,18,2,999,120,99
171017,1989,999,5.34,78,1,200,120,21
1249463,1989,999,40.36,20,1,200,999,25
2249889,1989,999,8.15,44,1,330,221,28
1222258,1989,999,10.0,33,1,350,221,14
1308051,1989,999,6.61,46,1,200,311,98
1508383,1989,999,11.83,4,2,100,0,99
1993240,1989,999,9.55,2,2,100,0,99
1025788,1989,100,15.09,23,1,100,212,28
1290269,1989,999,6.12,39,2,200,311,13
1109511,1989,999,6.25,44,2,100,311,8
338144,1989,999,13.49,24,1,100,110,25
205916,1989,100,35.96,25,1,200,212,25
1916438,1989,999,2.04,32,2,330,221,6
2338682,1989,999,14.24,24,2,100,311,6
1864118,1989,999,2.57,56,1,200,311,2
892552,1989,100,29.7,31,1,200,221,10
976987,1989,999,28.46,13,1,100,212,99
2074063,1989,999,22.28,38,1,100,221,18
1132866,1989,999,6.35,26,1,200,311,3
534620,1989,100,6.52,22,1,100,212,15
87938,1989,100,11.09,20,1,330,212,24
1750795,1989,100,12.0,42,1,200,120,33
887826,1989,100,21.15,59,1,200,120,25
2625242,1989,999,10.08,59,1,200,400,8
1432602,1989,999,8.33,9,1,100,120,99
2303879,1989,999,14.69,19,1,100,212,25
1437765,1989,999,8.32,44,2,100,311,25
1288978,1989,999,6.61,46,1,200,221,33
675339,1989,100,6.42,47,2,350,120,18
82571,1989,100,12.15,33,2,330,120,10
2452530,1989,100,11.91,41,2,400,221,23
1376312,1989,999,14.33,36,2,400,120,33
1727848,1989,999,29.27,6,1,100,110,99
314087,1989,999,13.49,22,1,400,221,25
1060175,1989,999,38.3,50,2,330,120,25
791414,1989,999,31.01,8,2,100,110,99
65094,1989,100,22.92,48,2,200,311,32
424820,1989,999,12.87,64,1,200,212,24
1575544,1989,999,17.49,34,2,200,212,25
965724,1989,211,16.28,27,2,999,212,15
977171,1989,999,27.88,24,2,100,212,98
2200434,1989,100,17.35,38,2,100,400,99
1552468,1989,999,5.97,16,2,100,212,99
1942168,1989,999,14.12,41,2,200,212,25
2017895,1989,999,2.71,50,1,200,311,32
1483801,1989,999,25.34,52,2,200,120,25
1079594,1989,999,39.52,1,1,100,0,99
1292194,1989,999,6.12,34,2,200,311,13
2185959,1989,999,35.75,41,1,200,120,25
1488780,1989,100,11.83,29,2,100,212,3
1141485,1989,999,39.52,65,1,400,311,14
302383,1989,999,4.08,30,1,350,212,32
1108536,1989,999,6.35,43,1,200,311,23
248836,1989,100,36.03,38,2,100,212,32
2198303,1989,100,17.35,36,2,350,311,99
595615,1989,100,5.56,33,1,200,212,14
2092251,1989,999,9.0,14,2,100,212,99
1691503,1989,999,5.82,46,2,100,221,6
1434233,1989,999,8.33,62,1,200,400,23
1539755,1989,999,81.71,64,1,200,120,99
2245081,1989,999,75.8,32,2,200,120,33
922342,1989,100,20.78,30,2,400,311,29
1145234,1989,999,9.31,48,2,100,212,3
1144646,1989,999,9.31,47,2,200,120,8
2360299,1989,999,15.26,19,2,200,120,6
1008587,1989,100,28.46,37,1,200,400,15
1607844,1989,999,17.56,51,1,200,120,25
1259989,1989,999,40.34,83,2,400,110,99
403128,1989,999,39.51,14,1,100,212,99
1117761,1989,999,6.35,36,1,200,212,25
450959,1989,100,11.58,5,2,100,110,99
2620547,1989,999,9.69,62,2,400,110,99
644207,1989,999,5.56,25,1,200,212,13
2502673,1989,999,92.18,8,1,100,110,99
423514,1989,999,38.78,24,2,200,120,25
2448990,1989,100,11.91,45,2,400,212,99
1642681,1989,999,20.62,14,1,100,110,25
2256955,1989,999,8.15,26,1,100,212,28
1664442,1989,999,20.62,16,1,330,110,25
14439,1989,290,79.71,13,1,100,110,7
889141,1989,100,21.15,33,1,100,120,14
969146,1989,100,16.28,32,2,200,212,22
1637298,1989,999,7.21,38,1,200,212,6
125577,1989,100,21.87,25,2,100,212,25
1304352,1989,999,6.12,18,2,100,311,99
882824,1989,100,20.78,47,2,350,120,31
10396,1989,290,79.71,30,1,100,110,28
810229,1989,999,5.65,41,1,200,400,18
1036678,1989,100,15.09,45,1,400,311,10
1652985,1989,999,20.62,14,1,100,110,25
1013881,1989,290,14.91,34,2,200,400,99
906931,1989,100,21.15,18,1,100,212,1
429965,1989,999,39.51,17,1,100,120,25
2099969,1989,999,9.03,58,1,200,221,28
1214587,1989,999,33.39,64,2,200,120,23
1108282,1989,999,6.35,3,1,100,0,99
1292272,1989,999,6.12,16,2,100,311,99
391716,1989,100,12.6,19,2,100,120,17
1301459,1989,999,6.61,43,1,200,212,11
664274,1989,999,5.48,31,2,100,999,25
608954,1989,999,5.56,24,1,100,311,30
1907704,1989,999,2.45,43,2,100,120,27
276474,1989,999,48.68,4,1,100,0,99
1602251,1989,999,6.22,54,1,200,120,1
2467181,1989,999,11.91,32,2,100,110,23
239811,1989,211,36.73,9,1,100,120,99
1862794,1989,999,2.57,46,1,200,110,32
615807,1989,999,40.99,33,2,200,212,31
1598172,1989,999,17.56,87,1,200,221,99
2490072,1989,999,22.38,35,1,200,400,19
380919,1989,100,12.87,56,1,200,221,16
2038440,1989,999,4.52,55,1,200,221,32
2221466,1989,999,77.03,9,1,100,120,99
2578253,1989,100,16.42,43,2,200,400,2
2337184,1989,999,14.24,26,2,100,999,25
1994017,1989,999,9.55,87,2,200,110,25
1878150,1989,999,2.45,18,2,100,311,99
1999014,1989,999,9.55,37,2,200,120,28
854002,1989,999,12.59,38,1,200,221,25
2445381,1989,100,11.91,28,2,350,311,31
1011412,1989,100,15.09,6,1,100,110,99
2498145,1989,999,92.18,62,1,400,120,21
330647,1989,999,13.1,74,2,400,120,99
1489868,1989,100,12.07,28,1,200,221,15
1393527,1989,999,14.33,34,2,100,221,24
2327445,1989,999,14.69,10,1,100,120,99
2485527,1989,999,22.38,77,1,400,311,99
594836,1989,211,5.56,32,1,100,311,99
285945,1989,999,48.71,8,2,100,120,99
1399342,1989,999,14.33,31,2,100,311,17
