Unnamed: 0,year,age,sex,marstd,edattaind,occ
94711,1981,69,2.0,400.0,120.0,999.0
33810,1981,38,1.0,100.0,212.0,903.0
262135,1981,66,1.0,100.0,120.0,998.0
171285,1981,41,2.0,220.0,120.0,998.0
11970,1981,36,2.0,210.0,312.0,999.0
10604,1981,48,1.0,210.0,110.0,503.0
223554,1981,32,2.0,100.0,312.0,310.0
17946,1981,41,1.0,220.0,212.0,813.0
13579,1981,22,1.0,210.0,312.0,64.0
185545,1981,63,2.0,400.0,120.0,410.0
249542,1981,49,1.0,210.0,120.0,635.0
226544,1981,65,2.0,400.0,110.0,423.0
118110,1981,51,1.0,100.0,110.0,990.0
27548,1981,19,1.0,210.0,312.0,999.0
204791,1981,32,2.0,400.0,120.0,314.0
455,1981,70,2.0,400.0,120.0,998.0
28296,1981,53,1.0,210.0,311.0,995.0
53853,1981,19,1.0,100.0,212.0,723.0
50046,1981,42,1.0,210.0,212.0,812.0
14515,1981,39,1.0,210.0,311.0,125.0
232172,1981,52,2.0,350.0,212.0,65.0
12354,1981,36,2.0,330.0,212.0,975.0
205153,1981,29,1.0,220.0,110.0,650.0
95342,1981,41,1.0,210.0,120.0,900.0
45007,1981,55,1.0,210.0,110.0,691.0
215505,1981,27,2.0,210.0,120.0,613.0
33051,1981,27,2.0,330.0,311.0,39.0
104170,1981,53,1.0,100.0,110.0,410.0
63273,1981,27,2.0,220.0,212.0,961.0
34459,1981,26,2.0,220.0,212.0,302.0
86728,1981,33,1.0,100.0,312.0,53.0
159517,1981,27,1.0,100.0,110.0,813.0
36745,1981,33,1.0,210.0,120.0,200.0
78630,1981,40,2.0,220.0,120.0,420.0
209133,1981,44,1.0,100.0,120.0,200.0
117774,1981,17,1.0,100.0,120.0,420.0
20206,1981,34,2.0,100.0,212.0,933.0
235839,1981,27,2.0,100.0,212.0,611.0
116514,1981,26,2.0,330.0,311.0,999.0
120860,1981,2,1.0,100.0,0.0,999.0
30776,1981,21,1.0,100.0,212.0,667.0
109742,1981,47,1.0,210.0,110.0,903.0
131537,1981,72,1.0,100.0,212.0,999.0
17690,1981,21,1.0,100.0,120.0,332.0
5483,1981,23,1.0,220.0,312.0,998.0
44562,1981,25,1.0,100.0,120.0,200.0
156558,1981,67,1.0,210.0,110.0,410.0
15709,1981,27,1.0,210.0,311.0,6.0
23929,1981,0,1.0,100.0,0.0,999.0
109469,1981,73,1.0,100.0,120.0,903.0
110086,1981,20,1.0,100.0,312.0,677.0
258462,1981,22,1.0,210.0,212.0,835.0
71885,1981,40,1.0,220.0,120.0,620.0
30859,1981,19,1.0,100.0,120.0,692.0
277553,1981,34,1.0,210.0,120.0,903.0
162907,1981,21,2.0,350.0,212.0,921.0
217992,1981,17,2.0,100.0,212.0,789.0
237123,1981,71,2.0,210.0,120.0,420.0
25518,1981,57,1.0,100.0,400.0,46.0
135446,1981,28,1.0,330.0,212.0,695.0
253927,1981,80,2.0,220.0,120.0,999.0
132556,1981,40,2.0,350.0,212.0,302.0
41494,1981,20,1.0,210.0,311.0,200.0
216989,1981,36,2.0,330.0,120.0,760.0
52261,1981,18,1.0,100.0,212.0,950.0
109288,1981,36,1.0,330.0,212.0,630.0
54867,1981,78,1.0,400.0,212.0,734.0
15574,1981,42,2.0,400.0,311.0,302.0
11698,1981,33,1.0,210.0,312.0,961.0
58853,1981,31,2.0,100.0,120.0,943.0
186331,1981,61,1.0,100.0,212.0,410.0
11972,1981,14,1.0,100.0,212.0,999.0
247376,1981,47,1.0,210.0,120.0,999.0
223363,1981,49,1.0,210.0,221.0,200.0
265357,1981,30,2.0,100.0,221.0,990.0
63495,1981,68,1.0,400.0,120.0,999.0
47313,1981,25,2.0,330.0,120.0,411.0
225590,1981,18,1.0,100.0,212.0,420.0
26230,1981,76,2.0,100.0,212.0,614.0
179419,1981,41,2.0,210.0,120.0,302.0
37261,1981,35,2.0,210.0,312.0,210.0
14783,1981,55,1.0,220.0,120.0,500.0
233435,1981,62,2.0,330.0,120.0,999.0
156271,1981,4,1.0,100.0,0.0,999.0
38230,1981,34,2.0,210.0,221.0,200.0
221149,1981,68,1.0,210.0,120.0,501.0
244034,1981,37,2.0,210.0,120.0,689.0
53976,1981,26,1.0,210.0,221.0,709.0
7286,1981,16,2.0,100.0,120.0,998.0
145391,1981,20,1.0,220.0,110.0,420.0
42191,1981,55,1.0,220.0,212.0,930.0
13921,1981,26,1.0,220.0,212.0,726.0
135223,1981,34,1.0,210.0,212.0,998.0
257678,1981,47,1.0,210.0,120.0,310.0
15290,1981,39,2.0,210.0,120.0,999.0
225906,1981,24,2.0,100.0,120.0,990.0
223393,1981,43,2.0,210.0,311.0,999.0
21872,1981,46,2.0,330.0,110.0,975.0
122426,1981,47,1.0,100.0,120.0,410.0
13950,1981,25,1.0,100.0,221.0,286.0
208720,1981,5,2.0,100.0,110.0,999.0
166803,1981,45,1.0,210.0,120.0,423.0
27403,1981,21,2.0,350.0,120.0,921.0
257085,1981,31,1.0,210.0,312.0,220.0
124465,1981,18,1.0,400.0,110.0,998.0
214319,1981,30,2.0,220.0,120.0,750.0
35972,1981,67,2.0,400.0,110.0,943.0
17715,1981,31,1.0,100.0,311.0,792.0
34379,1981,33,2.0,330.0,120.0,792.0
198995,1981,14,1.0,330.0,110.0,998.0
55380,1981,35,2.0,220.0,212.0,613.0
39315,1981,73,1.0,210.0,400.0,127.0
28283,1981,35,1.0,210.0,400.0,30.0
66541,1981,47,1.0,210.0,120.0,820.0
26875,1981,35,2.0,220.0,221.0,961.0
85597,1981,55,1.0,100.0,212.0,410.0
45440,1981,42,1.0,210.0,212.0,127.0
16117,1981,58,1.0,220.0,212.0,998.0
135472,1981,38,1.0,100.0,120.0,500.0
27868,1981,44,2.0,210.0,400.0,19.0
33879,1981,43,1.0,100.0,212.0,999.0
173314,1981,31,1.0,210.0,110.0,420.0
43613,1981,35,2.0,350.0,221.0,999.0
117206,1981,52,2.0,400.0,110.0,411.0
166157,1981,29,1.0,100.0,120.0,310.0
95682,1981,13,1.0,100.0,212.0,999.0
255049,1981,2,1.0,100.0,0.0,999.0
30452,1981,73,1.0,210.0,120.0,213.0
206653,1981,22,2.0,350.0,311.0,45.0
34598,1981,20,1.0,210.0,221.0,321.0
141715,1981,26,1.0,220.0,221.0,990.0
165142,1981,23,1.0,100.0,312.0,410.0
264357,1981,21,2.0,220.0,110.0,932.0
130872,1981,29,1.0,100.0,311.0,262.0
190368,1981,20,2.0,210.0,311.0,45.0
178312,1981,56,1.0,210.0,400.0,30.0
166652,1981,50,1.0,210.0,120.0,633.0
55776,1981,54,1.0,220.0,120.0,990.0
154942,1981,29,2.0,210.0,212.0,39.0
121473,1981,40,1.0,210.0,311.0,27.0
5151,1981,23,1.0,100.0,221.0,653.0
196642,1981,76,1.0,210.0,110.0,999.0
11553,1981,43,1.0,210.0,221.0,999.0
114112,1981,61,2.0,220.0,110.0,943.0
205594,1981,54,2.0,210.0,110.0,921.0
15596,1981,35,2.0,220.0,212.0,200.0
45751,1981,58,1.0,220.0,212.0,999.0
161305,1981,75,2.0,330.0,110.0,999.0
148806,1981,41,2.0,210.0,212.0,284.0
16831,1981,62,1.0,210.0,120.0,726.0
8783,1981,18,1.0,100.0,212.0,635.0
115704,1981,45,1.0,210.0,311.0,826.0
47543,1981,19,1.0,100.0,120.0,501.0
223049,1981,49,2.0,210.0,120.0,314.0
279317,1981,17,1.0,100.0,110.0,821.0
266685,1981,54,1.0,100.0,110.0,424.0
263532,1981,46,1.0,220.0,212.0,640.0
223008,1981,6,2.0,100.0,110.0,999.0
58439,1981,24,2.0,210.0,311.0,310.0
9616,1981,19,1.0,100.0,311.0,695.0
72881,1981,14,2.0,210.0,221.0,998.0
105511,1981,43,2.0,210.0,212.0,302.0
212762,1981,18,1.0,210.0,110.0,503.0
77562,1981,36,1.0,210.0,212.0,900.0
54527,1981,40,1.0,210.0,120.0,501.0
219744,1981,30,2.0,100.0,221.0,220.0
102730,1981,49,1.0,220.0,120.0,833.0
220724,1981,34,1.0,100.0,120.0,826.0
208257,1981,54,1.0,210.0,212.0,950.0
248519,1981,16,2.0,100.0,212.0,931.0
275117,1981,43,1.0,100.0,120.0,902.0
263230,1981,24,2.0,100.0,110.0,990.0
209155,1981,40,2.0,400.0,120.0,316.0
92874,1981,23,1.0,220.0,110.0,611.0
9025,1981,16,1.0,100.0,221.0,723.0
56204,1981,55,1.0,400.0,120.0,671.0
210484,1981,66,2.0,400.0,110.0,411.0
218070,1981,70,1.0,210.0,110.0,504.0
204755,1981,33,1.0,210.0,212.0,500.0
201832,1981,24,1.0,100.0,212.0,423.0
81319,1981,49,1.0,220.0,110.0,650.0
76593,1981,68,1.0,210.0,110.0,501.0
27710,1981,40,1.0,100.0,221.0,312.0
259608,1981,34,1.0,100.0,400.0,46.0
127226,1981,51,1.0,210.0,120.0,810.0
63858,1981,28,1.0,210.0,212.0,758.0
257708,1981,59,1.0,210.0,110.0,310.0
116980,1981,41,2.0,220.0,110.0,411.0
33652,1981,27,2.0,350.0,120.0,921.0
262554,1981,74,2.0,330.0,120.0,998.0
166854,1981,52,2.0,220.0,212.0,930.0
59764,1981,24,1.0,210.0,312.0,660.0
163521,1981,58,2.0,100.0,110.0,835.0
13890,1981,55,1.0,210.0,120.0,660.0
275433,1981,20,1.0,100.0,120.0,689.0
133483,1981,42,1.0,100.0,120.0,450.0
250034,1981,56,1.0,400.0,110.0,424.0
109673,1981,29,1.0,220.0,120.0,692.0
218869,1981,51,1.0,220.0,120.0,424.0
120762,1981,51,1.0,210.0,110.0,834.0
252208,1981,75,1.0,330.0,110.0,999.0
204097,1981,11,2.0,100.0,110.0,310.0
76836,1981,25,1.0,210.0,120.0,660.0
178232,1981,67,2.0,100.0,221.0,410.0
221057,1981,39,1.0,210.0,120.0,421.0
223491,1981,50,2.0,210.0,221.0,220.0
167713,1981,38,1.0,220.0,212.0,420.0
203094,1981,38,2.0,400.0,110.0,310.0
133878,1981,51,1.0,210.0,120.0,650.0
133157,1981,30,2.0,220.0,120.0,999.0
257662,1981,49,1.0,400.0,110.0,999.0
11134,1981,16,2.0,220.0,221.0,999.0
31868,1981,27,1.0,220.0,212.0,631.0
186297,1981,24,1.0,100.0,221.0,635.0
7688,1981,50,2.0,330.0,120.0,316.0
258688,1981,24,2.0,100.0,312.0,212.0
209400,1981,39,2.0,330.0,120.0,316.0
41976,1981,30,1.0,100.0,120.0,734.0
53163,1981,38,2.0,350.0,212.0,921.0
2807,1981,22,1.0,220.0,212.0,263.0
188092,1981,46,1.0,210.0,110.0,411.0
275707,1981,55,2.0,210.0,212.0,998.0
272928,1981,35,1.0,220.0,120.0,952.0
249356,1981,29,1.0,210.0,311.0,718.0
97872,1981,46,2.0,210.0,110.0,310.0
248318,1981,46,2.0,100.0,110.0,921.0
65617,1981,29,2.0,100.0,212.0,990.0
48613,1981,27,1.0,220.0,120.0,400.0
36578,1981,30,2.0,210.0,400.0,45.0
5491,1981,34,1.0,210.0,212.0,631.0
19659,1981,40,1.0,210.0,120.0,125.0
43168,1981,39,1.0,210.0,212.0,677.0
26273,1981,50,2.0,210.0,400.0,19.0
256018,1981,47,2.0,100.0,212.0,998.0
76679,1981,36,2.0,210.0,212.0,315.0
12015,1981,33,1.0,350.0,312.0,998.0
135904,1981,29,2.0,350.0,221.0,961.0
134839,1981,56,1.0,220.0,120.0,835.0
63357,1981,41,1.0,210.0,221.0,671.0
108038,1981,75,1.0,220.0,120.0,811.0
271815,1981,15,2.0,220.0,120.0,999.0
69635,1981,29,2.0,210.0,120.0,310.0
178449,1981,51,2.0,220.0,212.0,614.0
106234,1981,47,2.0,100.0,110.0,310.0
143450,1981,15,2.0,100.0,120.0,609.0
101031,1981,24,1.0,220.0,212.0,418.0
143748,1981,46,2.0,330.0,120.0,609.0
246518,1981,30,2.0,210.0,120.0,961.0
23312,1981,38,1.0,210.0,120.0,611.0
40688,1981,30,1.0,220.0,120.0,757.0
230715,1981,51,1.0,330.0,110.0,999.0
126110,1981,35,1.0,210.0,312.0,45.0
105367,1981,8,1.0,100.0,120.0,999.0
211284,1981,64,1.0,100.0,120.0,998.0
196573,1981,94,2.0,330.0,110.0,999.0
15462,1981,34,2.0,350.0,400.0,45.0
33789,1981,70,1.0,210.0,311.0,660.0
79970,1981,18,1.0,100.0,120.0,620.0
278770,1981,39,2.0,220.0,212.0,411.0
30753,1981,51,1.0,220.0,120.0,999.0
240386,1981,11,2.0,100.0,110.0,999.0
37804,1981,23,2.0,100.0,120.0,316.0
174876,1981,19,1.0,100.0,311.0,610.0
263891,1981,19,2.0,210.0,212.0,990.0
141755,1981,52,1.0,210.0,212.0,753.0
34436,1981,57,1.0,220.0,120.0,620.0
36627,1981,30,2.0,220.0,110.0,921.0
258833,1981,44,1.0,210.0,221.0,332.0
160432,1981,70,1.0,220.0,110.0,835.0
94951,1981,37,2.0,330.0,120.0,410.0
188455,1981,47,2.0,210.0,120.0,65.0
49129,1981,33,1.0,220.0,120.0,424.0
34568,1981,41,1.0,220.0,311.0,321.0
59499,1981,10,1.0,100.0,110.0,640.0
26031,1981,46,1.0,210.0,221.0,286.0
109728,1981,30,2.0,220.0,120.0,920.0
26793,1981,49,1.0,210.0,212.0,302.0
77168,1981,56,1.0,220.0,110.0,813.0
86830,1981,60,1.0,100.0,110.0,998.0
24286,1981,39,1.0,100.0,212.0,635.0
22026,1981,59,1.0,210.0,212.0,910.0
148676,1981,40,2.0,220.0,110.0,950.0
20786,1981,60,2.0,350.0,120.0,930.0
145031,1981,39,1.0,210.0,120.0,693.0
249345,1981,27,2.0,100.0,312.0,212.0
60382,1981,32,1.0,330.0,221.0,998.0
78570,1981,33,1.0,220.0,120.0,418.0
120057,1981,27,1.0,210.0,221.0,631.0
31109,1981,29,2.0,220.0,312.0,999.0
209600,1981,20,1.0,100.0,110.0,811.0
162862,1981,44,1.0,100.0,120.0,411.0
205125,1981,24,1.0,210.0,120.0,302.0
40834,1981,70,1.0,220.0,120.0,505.0
278902,1981,44,1.0,100.0,400.0,999.0
60714,1981,42,2.0,350.0,120.0,998.0
174217,1981,37,1.0,210.0,212.0,950.0
163278,1981,71,1.0,100.0,110.0,424.0
189408,1981,70,1.0,100.0,400.0,998.0
161007,1981,18,1.0,100.0,212.0,505.0
252280,1981,28,2.0,210.0,120.0,990.0
263671,1981,43,2.0,220.0,120.0,411.0
227911,1981,79,2.0,330.0,110.0,998.0
96255,1981,10,1.0,100.0,110.0,999.0
74192,1981,64,1.0,210.0,212.0,500.0
204691,1981,24,1.0,100.0,120.0,611.0
33792,1981,19,1.0,100.0,221.0,952.0
18410,1981,61,2.0,330.0,110.0,286.0
53131,1981,30,1.0,210.0,311.0,39.0
232090,1981,28,1.0,210.0,120.0,251.0
103616,1981,21,1.0,220.0,110.0,822.0
124100,1981,63,1.0,210.0,120.0,420.0
270887,1981,2,2.0,100.0,0.0,999.0
217589,1981,50,2.0,400.0,120.0,950.0
177129,1981,95,2.0,400.0,120.0,999.0
