Country,Avg_True_Risk,Avg_SUDA_Risk,Avg_Error_Percent
Dominican Republic,62823.0,43940.5,-31.201974866176805
Hungary,34189.5,32049.5,-0.6351964027243113
Switzerland,30883.0,23737.75,-19.820051594656682
Vietnam,34218.5,43864.75,26.256591559386706
