Unnamed: 0,year,ownershipd,perwt,age,sex,marstd,edattaind,occ
1641915,1989,999,20.62,41,1,200,311,25
1601,1989,211,79.71,38,1,350,221,14
1162730,1989,999,33.75,4,1,100,0,99
620074,1989,999,40.99,47,2,999,212,14
2283154,1989,999,8.07,29,2,200,221,23
2508922,1989,999,92.18,65,1,200,120,99
2254485,1989,999,8.07,8,2,100,120,99
1215431,1989,999,9.42,42,2,100,400,10
2621655,1989,999,38.66,31,1,100,311,26
2401528,1989,100,13.72,58,1,200,212,99
21429,1989,211,78.98,47,2,200,400,99
815418,1989,999,5.59,46,2,200,221,3
667464,1989,100,6.42,48,2,200,311,15
367105,1989,999,13.49,27,1,200,221,29
955687,1989,100,16.53,62,1,200,221,10
1087277,1989,999,6.35,20,1,100,212,99
2240000,1989,999,18.22,42,1,200,221,28
2150054,1989,999,35.75,15,1,100,120,14
213681,1989,100,35.96,71,1,200,212,99
1401030,1989,999,14.27,42,1,200,110,25
2440975,1989,100,11.9,64,1,200,221,10
397054,1989,999,12.87,15,1,100,110,18
617105,1989,999,40.99,25,2,100,120,10
824583,1989,999,12.59,37,1,200,212,25
2146435,1989,999,4.65,48,1,100,311,3
1377580,1989,999,11.08,14,1,100,212,99
859858,1989,999,5.59,22,2,330,120,24
1454759,1989,999,8.33,52,1,200,120,27
1872551,1989,999,2.57,29,1,200,110,28
2466898,1989,999,11.91,57,2,200,120,31
373725,1989,211,12.87,49,1,200,400,28
511079,1989,100,53.76,4,1,100,0,99
175331,1989,999,35.96,44,1,200,110,99
70560,1989,100,22.92,10,2,100,120,99
2437668,1989,100,11.91,25,2,200,212,99
2243196,1989,999,75.8,3,2,100,0,99
1684719,1989,999,5.96,15,1,100,110,23
335575,1989,999,13.1,26,2,200,120,25
1864650,1989,999,2.57,22,1,100,311,99
950544,1989,100,16.53,28,1,200,212,17
1472575,1989,999,8.32,32,2,330,120,20
2012239,1989,999,9.64,4,1,100,0,99
2621134,1989,999,38.66,4,1,100,0,99
8607,1989,100,79.71,47,1,200,311,22
1615991,1989,999,7.21,7,1,100,110,99
1426067,1989,999,8.32,24,2,200,221,19
926931,1989,100,29.7,40,1,200,120,25
676563,1989,100,6.42,25,2,200,999,18
1319160,1989,999,21.74,20,2,100,120,25
946742,1989,100,16.53,14,1,100,221,99
1376617,1989,999,14.27,35,1,200,212,12
731027,1989,999,5.31,19,2,100,212,20
2065671,1989,999,4.52,59,1,100,212,30
372889,1989,100,12.87,12,1,100,212,99
1180135,1989,999,33.39,41,2,200,221,33
1955417,1989,999,14.12,16,2,200,999,99
1689166,1989,999,5.82,26,2,100,400,5
2293105,1989,999,34.04,65,1,400,110,27
12763,1989,100,78.98,25,2,100,120,13
2565489,1989,100,38.07,9,1,100,120,99
1090005,1989,999,6.35,36,1,350,212,14
1293378,1989,999,6.61,25,1,100,311,30
2388992,1989,999,15.26,36,2,330,120,24
1982161,1989,999,9.55,40,2,200,110,25
1811136,1989,100,6.43,23,2,400,311,14
1399800,1989,999,14.27,18,1,100,311,25
1666811,1989,999,7.21,31,1,200,311,26
371762,1989,100,12.6,26,2,200,221,19
1320830,1989,999,21.74,14,2,100,221,99
492929,1989,100,52.75,39,2,350,212,25
32481,1989,211,78.98,43,2,100,221,14
2335288,1989,999,14.24,36,2,100,110,32
4279,1989,217,79.71,58,1,100,400,7
2551046,1989,999,34.75,15,2,100,212,25
824033,1989,999,5.59,35,2,200,120,25
1169001,1989,999,9.31,0,2,100,0,99
671476,1989,100,6.42,34,2,200,400,24
819363,1989,999,5.59,34,2,200,212,25
2206225,1989,999,17.35,45,2,200,120,99
87179,1989,100,11.09,21,1,100,212,24
1215116,1989,999,9.42,32,2,100,311,33
1235024,1989,999,9.42,73,2,200,110,20
2614565,1989,999,39.85,8,2,100,120,99
1812503,1989,211,6.61,39,1,999,311,1
1921272,1989,999,4.09,24,1,100,212,18
304766,1989,999,13.1,33,2,100,120,17
1759087,1989,100,11.64,30,2,400,212,32
1152303,1989,999,9.31,21,2,100,311,20
272277,1989,999,48.68,0,1,100,0,99
2310889,1989,999,14.24,18,2,200,110,25
1626891,1989,999,7.17,17,2,100,311,28
434392,1989,999,12.87,20,1,100,311,27
802865,1989,999,5.31,30,2,330,120,20
217449,1989,100,36.47,21,2,200,120,25
43772,1989,100,22.92,12,2,100,212,99
2121377,1989,999,32.67,24,1,200,400,3
52533,1989,211,79.71,19,1,100,311,99
405553,1989,999,39.51,19,1,200,221,25
2298315,1989,999,4.75,49,2,100,400,25
1873991,1989,999,2.45,53,2,400,120,99
2533622,1989,999,34.47,31,1,200,212,18
1619952,1989,999,20.17,27,2,200,999,7
2368594,1989,999,15.66,9,1,100,120,99
2033454,1989,999,9.64,1,1,100,0,99
1358706,1989,100,11.47,56,2,200,120,28
686100,1989,100,30.57,13,1,100,212,98
474946,1989,100,52.75,17,2,100,212,25
638378,1989,999,5.48,65,2,400,311,31
299589,1989,999,4.08,34,1,330,212,31
912047,1989,100,29.7,30,1,200,120,99
1290540,1989,999,6.12,29,2,100,212,13
2256508,1989,999,8.15,49,1,200,221,31
638195,1989,999,5.48,31,2,200,311,28
363468,1989,999,13.1,35,2,330,311,17
2258738,1989,999,8.15,41,1,400,400,1
1152422,1989,999,9.38,36,1,100,311,33
2064229,1989,999,22.28,25,1,330,221,3
2496906,1989,999,92.18,41,1,200,212,2
1727981,1989,999,29.27,46,1,330,212,33
1683237,1989,999,5.96,26,1,100,221,25
376556,1989,100,12.87,32,1,100,120,21
2476812,1989,999,27.0,49,1,200,221,8
588803,1989,999,16.33,16,2,100,120,25
381414,1989,100,12.87,60,1,200,221,31
779026,1989,999,31.01,1,2,100,0,99
41595,1989,100,23.8,45,1,200,120,5
596321,1989,211,5.48,49,2,200,212,32
2305850,1989,999,14.69,22,1,100,212,99
1329469,1989,999,21.74,35,2,100,311,10
1868378,1989,999,2.57,35,1,400,212,24
1507898,1989,999,11.83,46,2,330,212,32
202108,1989,100,35.96,73,1,100,110,98
2301244,1989,999,4.75,18,2,100,221,99
2170062,1989,999,4.65,52,1,400,400,8
1174181,1989,999,33.39,19,2,100,311,25
849959,1989,999,12.41,38,2,100,120,32
1396464,1989,999,11.08,35,1,200,311,12
1224983,1989,999,40.34,25,2,330,212,25
2482400,1989,999,21.11,44,2,200,212,10
747362,1989,999,5.31,14,2,100,120,33
2265296,1989,999,8.07,18,2,100,999,18
1715793,1989,999,29.27,9,1,100,120,99
2332636,1989,999,14.24,42,2,330,311,25
1190067,1989,999,33.75,22,1,330,120,18
2047299,1989,999,22.28,14,1,100,120,25
780760,1989,999,31.01,35,2,400,120,25
2266815,1989,999,8.07,19,2,100,221,15
168924,1989,999,5.34,25,1,100,999,32
948191,1989,211,16.53,68,1,200,311,10
1478329,1989,999,25.35,27,1,200,221,25
1273153,1989,999,40.36,73,1,200,120,99
1445,1989,100,79.71,14,1,100,212,99
3267,1989,100,79.71,43,1,200,221,3
132708,1989,100,21.87,79,2,100,120,25
794011,1989,999,31.01,68,2,400,221,25
566926,1989,999,16.75,44,1,200,110,26
1485180,1989,100,11.83,50,2,400,212,28
1147548,1989,999,9.31,46,2,200,212,8
1561718,1989,999,17.49,50,2,100,120,10
1429164,1989,999,8.33,71,1,200,120,27
509365,1989,100,53.76,2,1,100,0,99
1897277,1989,999,2.57,31,1,200,311,32
2064151,1989,999,22.17,20,2,100,221,1
1677119,1989,999,20.17,10,2,100,110,99
20202,1989,100,78.98,37,2,200,400,21
2138484,1989,999,32.94,51,2,200,120,25
1767059,1989,100,38.93,29,1,100,120,6
107645,1989,100,21.87,20,2,100,120,25
137170,1989,100,21.79,3,1,100,0,99
36715,1989,100,22.92,33,2,100,120,28
852520,1989,999,12.41,63,2,330,311,99
905227,1989,100,29.7,38,1,200,120,25
416159,1989,999,12.87,40,1,200,212,99
1035084,1989,100,14.91,39,2,200,120,18
1620842,1989,999,20.62,6,1,100,110,99
1919291,1989,999,4.09,3,1,100,0,99
