ID,suda_score,proportion_of_lattice,MSU_size_1,MSU_size_2,MSU_size_3,MSU_size_4,MSU_size_5,age_contribution_%,sex_contribution_%,marstd_contribution_%,edattaind_contribution_%,occ_contribution_%
4973,16,0.133333,1,0,0,0,0,0.0,0.0,100.0,0.0,0.0
47632,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
31086,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
46795,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
33998,10,0.083333,0,1,0,1,0,100.0,20.0,80.0,20.0,20.0
16397,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
42860,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
39570,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
39242,8,0.066667,0,1,0,0,0,100.0,0.0,100.0,0.0,0.0
4708,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
46680,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
57611,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
38254,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
2723,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
52052,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
36591,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
26013,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
18824,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
37088,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
21429,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
4779,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
22060,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
23949,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
20815,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
18330,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
37756,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
39154,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
3453,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,100.0,0.0
52740,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0.0,100.0
44921,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0.0,100.0
38825,8,0.066667,0,1,0,0,0,100.0,0.0,0.0,0.0,100.0
