Unnamed: 0,year,ownershipd,perwt,age,sex,marstd,edattaind,occ
329288,1980,100,20,24,2,400,212,61
317254,1980,100,20,20,1,100,311,11
464037,1980,210,20,41,1,210,311,1
173760,1980,210,20,55,1,210,212,73
241353,1980,100,20,29,2,350,321,73
268344,1980,100,20,63,2,210,120,92
255261,1980,210,20,33,1,210,321,81
534750,1980,0,20,59,1,210,400,99
322729,1980,100,20,19,2,100,999,81
126082,1980,100,20,50,1,400,311,31
179572,1980,210,20,44,2,210,400,26
445161,1980,210,20,71,2,400,212,51
28551,1980,100,20,50,1,210,212,61
379053,1980,100,20,46,1,210,311,13
372295,1980,100,20,58,1,210,400,12
354504,1980,100,20,50,2,400,120,99
214728,1980,210,20,41,2,400,110,99
364106,1980,100,20,38,2,100,311,75
157117,1980,210,20,8,1,100,120,99
365026,1980,100,20,54,1,210,322,11
426983,1980,100,20,42,2,210,322,24
173085,1980,100,20,64,2,400,212,53
518756,1980,100,20,64,1,100,212,74
406854,1980,100,20,21,1,100,321,74
205542,1980,100,20,34,1,210,120,62
93057,1980,100,20,20,1,350,321,74
471943,1980,100,20,48,2,210,322,21
453225,1980,210,20,36,2,350,322,13
388118,1980,100,20,54,2,100,311,32
381645,1980,100,20,10,2,100,120,99
395217,1980,210,20,31,2,350,322,24
66177,1980,100,20,23,1,210,400,31
364857,1980,100,20,38,1,100,212,72
395334,1980,100,20,68,2,400,212,75
487780,1980,100,20,34,2,210,311,53
492572,1980,210,20,34,2,210,311,81
465830,1980,210,20,51,2,350,212,36
25855,1980,100,20,39,1,210,311,72
138612,1980,100,20,58,2,100,212,99
285839,1980,100,20,31,2,210,311,41
304055,1980,210,20,21,2,100,311,53
58025,1980,100,20,57,1,210,212,99
142812,1980,100,20,24,2,350,212,73
243901,1980,100,20,6,2,100,0,99
163012,1980,100,20,22,2,210,212,75
389765,1980,100,20,7,2,100,120,99
278164,1980,210,20,31,1,210,322,74
259765,1980,210,20,45,2,210,311,12
251625,1980,100,20,24,2,100,322,36
187836,1980,210,20,9,1,100,120,99
55963,1980,100,20,67,1,400,212,99
161130,1980,210,20,25,2,210,120,61
376004,1980,100,20,40,1,400,311,83
225493,1980,210,20,29,2,210,321,76
50005,1980,100,20,47,2,100,212,82
453325,1980,210,20,70,1,100,212,91
291339,1980,100,20,74,2,400,322,99
246540,1980,100,20,52,1,350,221,81
373628,1980,210,20,69,2,100,322,99
521470,1980,0,20,77,2,100,400,99
353270,1980,290,20,88,2,100,120,99
517534,1980,100,20,36,2,210,321,73
51080,1980,100,20,37,2,210,212,61
198832,1980,100,20,43,2,100,212,99
43509,1980,100,20,68,2,400,120,99
58513,1980,100,20,22,2,100,311,61
431768,1980,100,20,25,2,100,212,61
307004,1980,210,20,55,2,210,212,62
256062,1980,100,20,57,2,100,311,41
162683,1980,210,20,17,2,100,212,52
249220,1980,100,20,25,1,100,321,62
192970,1980,100,20,20,1,100,321,75
340666,1980,100,20,45,2,100,322,24
89583,1980,100,20,64,1,400,110,99
519272,1980,210,20,56,2,210,221,99
161731,1980,100,20,54,1,100,212,52
67162,1980,100,20,66,1,210,120,99
170034,1980,100,20,47,2,210,221,61
267,1980,210,20,29,2,400,120,99
262954,1980,100,20,34,1,210,311,51
489049,1980,100,20,57,1,210,322,13
444083,1980,221,20,47,2,210,311,32
473784,1980,100,20,81,1,400,322,99
187503,1980,100,20,49,1,400,212,61
147510,1980,210,20,61,1,210,221,99
39734,1980,100,20,37,2,100,212,74
272617,1980,100,20,22,1,100,212,91
175728,1980,210,20,48,2,350,212,72
493770,1980,210,20,43,1,210,400,24
487419,1980,210,20,45,1,100,212,76
255412,1980,210,20,39,2,100,212,91
468210,1980,210,20,49,1,210,311,32
252284,1980,100,20,23,1,210,212,83
412149,1980,100,20,35,1,350,120,83
500075,1980,100,20,34,1,350,321,13
467964,1980,100,20,31,2,210,322,99
435508,1980,100,20,34,2,100,311,36
452724,1980,210,20,49,1,210,212,36
467632,1980,100,20,32,2,210,311,42
183197,1980,100,20,39,2,210,311,92
519874,1980,0,20,47,1,100,110,99
324896,1980,100,20,49,2,210,110,99
131076,1980,210,20,22,2,210,322,99
353856,1980,100,20,82,2,400,120,99
479164,1980,100,20,17,1,210,321,51
510385,1980,210,20,10,1,100,120,99
271586,1980,210,20,41,1,100,311,36
381819,1980,210,20,76,2,210,400,99
468842,1980,210,20,52,2,350,311,42
440331,1980,210,20,21,1,100,212,42
304971,1980,100,20,34,1,210,321,13
126604,1980,100,20,33,1,350,321,82
460991,1980,210,20,35,2,350,311,42
355973,1980,210,20,30,2,400,311,99
106348,1980,210,20,39,1,210,212,13
207492,1980,100,20,56,1,210,212,92
473473,1980,210,20,28,1,210,322,26
125919,1980,100,20,42,2,210,311,37
191428,1980,100,20,53,2,100,212,99
130382,1980,100,20,73,2,400,120,51
141625,1980,100,20,54,2,100,212,92
168521,1980,100,20,34,2,210,400,22
466905,1980,210,20,22,2,210,321,26
