Unnamed: 0,year,ownershipd,perwt,age,sex,marstd,edattaind,occ
5653068,2019,100,13.05,58,2,330,212.0,99.0
4902167,2019,100,10.45,41,2,330,221.0,99.0
3801155,2019,100,12.85,58,1,200,221.0,6.0
2210485,2019,100,16.01,16,1,100,120.0,99.0
5664617,2019,100,7.82,1,1,100,0.0,99.0
5687257,2019,100,5.81,51,2,400,221.0,9.0
4666015,2019,100,6.97,37,1,200,400.0,8.0
2164246,2019,100,7.96,79,2,400,120.0,99.0
1058483,2019,100,6.57,39,2,200,110.0,9.0
2517176,2019,100,13.96,26,2,200,311.0,8.0
3068655,2019,214,12.33,39,2,350,221.0,8.0
2392374,2019,100,12.93,89,2,200,120.0,99.0
696666,2019,100,7.39,35,1,200,311.0,9.0
3460094,2019,100,8.42,18,1,100,221.0,99.0
641195,2019,100,5.94,54,2,330,120.0,9.0
4518416,2019,100,4.63,28,2,200,221.0,9.0
1830020,2019,100,13.21,15,2,100,221.0,99.0
4023744,2019,100,23.09,15,2,100,212.0,99.0
662730,2019,100,4.11,59,2,200,120.0,9.0
1327666,2019,100,9.9,43,2,200,400.0,2.0
1668724,2019,100,15.68,36,1,200,400.0,2.0
5858241,2019,100,10.06,34,1,350,212.0,4.0
4003163,2019,100,10.09,24,2,100,221.0,8.0
3292935,2019,100,12.53,16,1,100,221.0,9.0
5355863,2019,100,8.62,15,2,200,212.0,99.0
4136982,2019,214,19.58,16,2,100,221.0,5.0
1746961,2019,100,10.84,40,1,400,212.0,99.0
2039278,2019,100,7.98,60,2,200,221.0,3.0
1634866,2019,100,3.12,20,1,100,311.0,9.0
1780762,2019,100,12.61,55,1,200,311.0,9.0
5165775,2019,100,6.03,24,2,200,221.0,9.0
1660965,2019,100,7.75,29,2,200,221.0,5.0
3257231,2019,100,17.1,9,2,100,120.0,99.0
3294659,2019,100,11.43,48,2,200,221.0,6.0
2932449,2019,100,11.03,56,2,330,400.0,9.0
2206121,2019,100,13.86,63,2,350,110.0,99.0
5040957,2019,214,6.68,46,1,350,221.0,8.0
4925779,2019,100,9.43,55,1,200,120.0,6.0
4577106,2019,100,12.71,41,2,330,321.0,3.0
4726304,2019,100,19.95,39,1,200,120.0,5.0
5133051,2019,100,10.13,71,2,200,110.0,9.0
541959,2019,100,7.79,1,2,100,0.0,99.0
325137,2019,100,14.52,77,1,200,311.0,9.0
2622198,2019,100,6.45,38,2,400,221.0,5.0
5277694,2019,100,11.41,25,2,200,221.0,9.0
760220,2019,100,5.22,44,1,200,120.0,9.0
5734897,2019,100,9.77,31,2,200,120.0,9.0
1086392,2019,100,1.22,50,2,350,120.0,1.0
5495628,2019,100,15.19,40,1,200,400.0,5.0
2289995,2019,100,10.31,82,2,200,120.0,99.0
1182656,2019,100,8.1,56,2,200,110.0,5.0
1158933,2019,100,9.56,70,2,400,120.0,99.0
424451,2019,100,17.28,57,2,400,110.0,7.0
3985215,2019,100,4.33,47,1,100,212.0,5.0
2641711,2019,100,11.34,35,1,200,311.0,9.0
743231,2019,100,6.64,35,2,200,400.0,1.0
246931,2019,214,16.46,45,2,330,311.0,5.0
1759879,2019,100,12.86,14,2,100,120.0,99.0
5699142,2019,214,11.33,8,2,100,120.0,99.0
5405685,2019,100,9.8,23,2,200,212.0,6.0
856240,2019,100,7.65,24,1,200,221.0,9.0
4922308,2019,100,9.49,24,1,100,221.0,9.0
2493980,2019,214,14.24,32,1,200,221.0,5.0
4072067,2019,100,11.38,62,2,400,120.0,99.0
1655315,2019,100,8.62,6,1,100,120.0,99.0
5471753,2019,214,12.98,25,1,200,311.0,5.0
5000506,2019,100,14.58,31,2,200,400.0,99.0
2596694,2019,100,10.32,8,1,100,120.0,99.0
415233,2019,100,22.32,27,1,100,221.0,5.0
964374,2019,100,6.94,32,2,350,110.0,6.0
115024,2019,100,16.02,40,1,100,400.0,8.0
4363665,2019,100,5.12,74,2,400,120.0,99.0
1756768,2019,100,11.73,11,1,100,120.0,99.0
5295962,2019,100,6.96,41,1,200,120.0,6.0
3124358,2019,100,6.65,36,2,330,400.0,7.0
481003,2019,100,11.97,16,2,100,221.0,99.0
156844,2019,100,17.03,35,1,200,400.0,2.0
4751752,2019,100,9.79,63,2,200,221.0,5.0
5154123,2019,100,5.81,59,1,200,400.0,9.0
