Unnamed: 0,year,age,sex,marstd,edattaind,occ
456310,2010,70,1,334,311,75
942846,2010,50,1,210,212,11
470304,2010,29,1,220,110,99
144207,2010,35,2,334,120,98
843277,2010,45,2,400,400,33
836301,2010,21,2,111,311,72
853965,2010,64,1,210,212,74
10613,2010,44,1,111,400,36
21877,2010,64,2,334,120,52
686921,2010,51,1,350,212,75
341850,2010,25,1,111,311,3
96644,2010,34,1,334,221,74
50773,2010,18,2,111,221,53
827926,2010,25,1,111,311,92
847606,2010,50,1,334,212,72
925451,2010,56,1,220,221,33
373304,2010,59,1,400,120,31
205924,2010,12,2,111,120,75
659211,2010,60,1,210,120,75
787318,2010,30,1,334,400,54
889459,2010,27,1,111,212,54
554688,2010,32,2,210,312,99
504140,2010,21,1,111,212,96
24373,2010,50,2,350,221,99
337113,2010,33,1,220,110,99
520000,2010,5,2,111,110,99
671718,2010,64,2,350,120,52
105979,2010,20,2,220,312,61
712952,2010,32,1,334,400,41
648813,2010,70,2,350,400,22
59832,2010,41,2,334,221,75
533692,2010,19,1,210,212,93
221460,2010,22,1,334,120,34
130219,2010,8,1,111,110,99
646080,2010,72,1,111,110,71
626099,2010,61,1,210,400,25
119218,2010,32,2,400,120,75
674146,2010,60,2,111,212,91
718357,2010,33,1,210,311,54
275361,2010,48,1,111,312,51
192086,2010,30,1,210,400,54
311081,2010,36,2,220,110,53
330819,2010,17,1,220,221,61
436172,2010,55,1,334,400,22
387021,2010,25,2,111,311,51
891432,2010,34,1,334,110,52
70844,2010,65,2,333,400,99
6654,2010,34,1,111,212,92
25525,2010,50,1,350,221,99
130546,2010,49,1,210,212,72
426497,2010,52,1,220,120,99
205337,2010,57,2,334,110,75
31849,2010,51,1,334,311,96
883388,2010,34,2,334,221,95
679473,2010,27,1,350,400,14
4416,2010,72,1,210,212,99
125248,2010,25,1,334,400,36
734953,2010,81,1,220,110,81
653272,2010,49,2,350,400,33
109986,2010,54,2,334,212,98
289074,2010,13,2,111,212,99
