Unnamed: 0,year,age,sex,marstd,edattaind,occ
630663,2010,57,2,210,400,21
650433,2010,65,1,210,212,52
553708,2010,1,2,111,0,99
866090,2010,69,2,400,120,52
680991,2010,37,2,220,120,99
477230,2010,55,1,220,312,52
634566,2010,66,1,111,221,99
742139,2010,29,1,334,212,74
845904,2010,48,2,220,221,32
149721,2010,97,1,400,120,42
584204,2010,45,2,400,212,99
922959,2010,26,1,220,212,33
514758,2010,17,2,220,110,91
769810,2010,56,1,220,212,43
634074,2010,46,2,334,311,75
321563,2010,63,2,350,212,81
47745,2010,67,1,400,120,98
22991,2010,25,1,400,110,61
775474,2010,38,2,220,120,94
831138,2010,52,2,400,311,51
712221,2010,39,1,350,221,52
294005,2010,14,2,111,212,99
434133,2010,24,1,111,120,3
643926,2010,44,2,210,212,99
661546,2010,63,2,220,110,98
724693,2010,34,2,350,400,52
556402,2010,58,2,111,221,51
773444,2010,22,1,210,311,99
581276,2010,58,1,111,120,42
16017,2010,24,2,220,311,42
940768,2010,41,2,350,221,3
676733,2010,85,1,350,212,43
786231,2010,35,2,210,221,83
745684,2010,39,1,210,312,37
695129,2010,59,2,350,110,91
868077,2010,57,1,210,120,33
655998,2010,68,1,334,312,99
215097,2010,71,1,210,212,52
314783,2010,31,2,350,212,42
176377,2010,41,2,334,221,99
638161,2010,42,2,400,312,51
875089,2010,53,2,333,312,91
876762,2010,52,2,210,311,34
589217,2010,71,1,400,110,42
935609,2010,26,1,220,221,35
643318,2010,34,2,111,400,43
738540,2010,92,2,400,110,91
215537,2010,60,2,220,120,99
52499,2010,80,1,210,212,81
815254,2010,20,1,111,221,73
178623,2010,34,2,111,400,83
458365,2010,40,2,220,212,92
717120,2010,36,2,220,400,54
625081,2010,61,2,210,400,26
368800,2010,42,1,210,400,81
490382,2010,49,1,220,120,83
678069,2010,52,1,334,312,75
753961,2010,81,1,334,120,52
803438,2010,8,2,111,120,99
237291,2010,51,2,400,311,91
395803,2010,4,2,111,110,99
894081,2010,19,1,111,311,99
522394,2010,21,2,350,212,51
267684,2010,42,1,334,120,83
646631,2010,28,1,111,312,34
454748,2010,0,1,111,0,99
578132,2010,25,1,111,221,99
718951,2010,26,2,334,311,43
463871,2010,39,1,220,212,3
355173,2010,61,1,334,110,54
476237,2010,38,1,111,311,99
535279,2010,24,1,334,221,42
258826,2010,52,1,334,212,92
537893,2010,57,2,334,400,13
417024,2010,33,1,220,110,42
583481,2010,16,1,111,311,99
556877,2010,23,2,220,400,12
701636,2010,42,2,350,120,51
649809,2010,28,1,350,400,21
70670,2010,24,2,220,110,99
535029,2010,67,1,333,110,93
703103,2010,21,1,334,212,3
690011,2010,27,2,334,312,31
932143,2010,20,2,210,312,72
565788,2010,85,1,400,221,41
668540,2010,38,2,334,312,98
728202,2010,29,2,334,311,36
664152,2010,39,2,333,212,52
233631,2010,34,2,334,400,42
123989,2010,44,2,210,120,31
224628,2010,30,1,334,120,96
603711,2010,14,2,111,120,99
851788,2010,59,1,220,311,72
669363,2010,40,2,350,110,52
112028,2010,43,1,210,212,32
411210,2010,51,2,334,110,51
870768,2010,29,2,210,221,32
140939,2010,19,1,334,120,81
15412,2010,30,1,220,120,71
635875,2010,30,1,111,120,34
842458,2010,33,2,210,400,74
526723,2010,25,1,210,221,83
445521,2010,38,1,210,212,62
823569,2010,34,1,210,312,73
643274,2010,24,1,334,400,52
112987,2010,42,2,210,221,41
727291,2010,27,2,220,221,32
722720,2010,21,2,111,400,26
51186,2010,79,1,350,110,33
725176,2010,45,2,333,212,42
224399,2010,35,1,220,221,13
636932,2010,24,1,111,400,26
846051,2010,35,2,111,400,12
147559,2010,78,1,210,120,96
422633,2010,38,2,350,221,52
37572,2010,81,1,210,120,71
466611,2010,12,1,111,212,99
536472,2010,76,1,400,120,96
38585,2010,53,2,111,212,31
398499,2010,49,2,210,110,52
530214,2010,57,1,210,311,81
91424,2010,32,2,210,311,34
581880,2010,87,1,400,311,98
670535,2010,50,2,111,312,99
887124,2010,62,1,334,400,23
687516,2010,54,2,111,212,91
673182,2010,27,1,111,120,98
253829,2010,44,1,210,311,1
914200,2010,36,1,220,221,96
641309,2010,47,2,350,311,11
531222,2010,64,2,111,110,52
617589,2010,59,2,350,221,98
532007,2010,24,1,334,120,72
619683,2010,67,1,210,221,71
316485,2010,33,2,220,110,75
607573,2010,63,2,334,110,61
417374,2010,54,1,220,212,93
329504,2010,23,2,350,400,51
507400,2010,34,1,334,110,99
311568,2010,48,2,220,110,92
711590,2010,41,1,111,400,74
236708,2010,13,1,111,212,99
312522,2010,32,2,334,212,41
717995,2010,10,1,111,110,99
809519,2010,45,1,334,120,41
707668,2010,31,2,111,400,36
774721,2010,42,1,333,311,96
622710,2010,39,1,220,400,1
556637,2010,8,2,111,110,99
271632,2010,64,1,220,120,51
164045,2010,49,1,220,212,73
364055,2010,46,1,210,312,23
650712,2010,61,2,111,311,41
786496,2010,40,1,334,311,52
529990,2010,68,2,400,120,98
712366,2010,16,1,111,311,35
817955,2010,49,2,334,110,32
389083,2010,59,1,334,110,71
901305,2010,26,1,220,212,91
541521,2010,47,1,220,120,52
832336,2010,60,2,350,221,32
943401,2010,32,2,210,212,52
272084,2010,1,1,111,0,99
342528,2010,21,1,220,312,61
642857,2010,44,2,350,311,81
193023,2010,60,2,333,110,99
855709,2010,42,2,111,400,22
208817,2010,29,2,350,400,83
323070,2010,56,1,333,212,51
302897,2010,64,2,210,312,44
771423,2010,51,1,334,221,37
194394,2010,83,1,334,110,61
220394,2010,64,1,333,221,31
184659,2010,57,2,400,311,41
59633,2010,23,1,334,110,81
746301,2010,85,2,334,110,52
567836,2010,26,1,220,221,14
332436,2010,78,2,334,110,99
245725,2010,62,1,220,120,92
830155,2010,46,1,334,400,83
663476,2010,50,2,111,311,91
567685,2010,54,1,334,311,35
238200,2010,82,1,400,120,61
767093,2010,34,2,220,120,98
739924,2010,41,2,210,212,53
147688,2010,53,1,220,400,36
893193,2010,64,1,334,120,71
616473,2010,74,2,400,312,99
772903,2010,5,2,111,110,99
368309,2010,32,1,220,311,44
173562,2010,40,1,210,221,31
778852,2010,49,2,210,400,42
674227,2010,55,1,210,400,12
349652,2010,68,1,210,312,22
644887,2010,79,1,210,212,33
264128,2010,66,2,400,212,99
324475,2010,46,2,333,221,42
747674,2010,81,2,400,311,33
349568,2010,37,1,210,312,93
678210,2010,67,1,220,212,52
710219,2010,43,1,111,110,52
836959,2010,23,1,111,221,95
918567,2010,21,2,111,221,32
479769,2010,55,2,111,110,99
803290,2010,55,2,400,311,44
805056,2010,28,2,111,400,32
395970,2010,41,1,334,120,81
474392,2010,55,2,400,120,14
535876,2010,43,1,333,212,34
731501,2010,27,2,210,221,53
526749,2010,10,1,111,120,99
535851,2010,52,2,333,400,23
327907,2010,44,2,333,400,99
535565,2010,30,1,220,311,41
615072,2010,49,2,334,221,31
825403,2010,54,1,333,221,91
633873,2010,36,2,111,221,91
683664,2010,24,1,111,221,14
348707,2010,55,2,333,120,52
285344,2010,27,2,334,311,32
518408,2010,37,1,111,212,61
7527,2010,76,1,333,120,1
295909,2010,15,2,111,221,99
648878,2010,29,1,334,312,73
533883,2010,58,2,350,312,36
800454,2010,37,1,210,221,34
522303,2010,36,1,220,311,34
539741,2010,29,2,220,312,22
562011,2010,25,2,334,221,33
354401,2010,60,1,220,110,33
577881,2010,33,1,111,312,23
835899,2010,38,2,220,120,31
656344,2010,76,1,111,221,54
832027,2010,37,2,334,311,34
118475,2010,33,2,400,311,32
248666,2010,34,2,334,221,42
873451,2010,21,2,220,110,51
734904,2010,49,1,333,212,96
849269,2010,26,2,210,312,51
648949,2010,45,1,210,312,41
888214,2010,27,2,111,311,3
664562,2010,58,2,111,110,93
926008,2010,17,1,350,221,83
674834,2010,53,2,210,312,74
403841,2010,39,2,333,400,43
366989,2010,36,1,333,311,71
356052,2010,29,2,220,221,51
684339,2010,28,1,220,400,23
487877,2010,46,1,220,212,61
665599,2010,83,2,400,212,81
534476,2010,63,2,334,120,81
828674,2010,37,1,220,110,98
557721,2010,36,1,111,400,22
809011,2010,40,1,210,212,13
719421,2010,37,2,210,221,41
708201,2010,30,2,334,212,34
783000,2010,55,1,210,120,54
405024,2010,22,1,334,311,72
210261,2010,92,1,210,212,52
475841,2010,60,1,400,311,99
597434,2010,43,1,210,212,96
717181,2010,23,1,220,312,44
674889,2010,25,1,111,400,32
737995,2010,44,1,210,312,74
177977,2010,37,2,334,110,92
650362,2010,36,2,111,312,91
752052,2010,20,2,111,312,99
722777,2010,30,2,210,400,24
798868,2010,41,2,400,400,24
421870,2010,89,2,111,311,51
829167,2010,36,2,334,221,98
750174,2010,50,1,350,221,54
623103,2010,71,1,210,221,98
551378,2010,65,1,210,120,54
679661,2010,48,2,220,312,51
86715,2010,58,1,400,400,73
862240,2010,49,2,220,312,23
700810,2010,39,2,210,311,36
558391,2010,22,2,334,312,42
293535,2010,38,1,111,110,81
851805,2010,16,1,220,212,74
796825,2010,10,2,111,120,99
623485,2010,32,2,111,221,36
406333,2010,50,2,400,221,53
405850,2010,81,2,220,110,51
779044,2010,39,1,220,311,74
403633,2010,49,2,333,400,23
532234,2010,73,1,350,221,52
157589,2010,23,1,210,120,71
644867,2010,38,2,350,311,13
213570,2010,40,1,350,110,99
789191,2010,48,1,210,221,75
226381,2010,75,1,350,120,99
90725,2010,87,1,210,400,54
787739,2010,74,1,400,311,52
286721,2010,71,2,400,120,99
793285,2010,15,2,220,221,98
881690,2010,56,1,220,212,93
678984,2010,74,2,334,110,32
933467,2010,25,1,334,311,3
184673,2010,47,2,210,110,99
675334,2010,67,1,350,110,71
170696,2010,50,1,111,400,33
551652,2010,14,2,111,221,52
466162,2010,35,1,111,311,61
680823,2010,54,2,210,212,96
915474,2010,20,2,210,311,52
774917,2010,50,2,210,311,42
819291,2010,65,1,210,212,51
524156,2010,26,2,111,311,51
746740,2010,57,2,400,120,32
197767,2010,22,1,111,312,61
179517,2010,19,1,220,311,92
417742,2010,39,2,220,212,82
234246,2010,12,1,111,212,99
760133,2010,29,1,210,120,72
398848,2010,13,1,111,120,99
556077,2010,98,2,220,110,99
771462,2010,47,1,220,312,99
822877,2010,26,2,111,120,81
777577,2010,20,1,111,311,52
813071,2010,20,2,333,312,23
576528,2010,29,1,220,120,74
622265,2010,48,1,111,212,62
142859,2010,23,2,220,400,81
626744,2010,32,2,111,311,33
164417,2010,35,2,220,221,52
301585,2010,57,2,334,311,43
347362,2010,78,1,220,110,51
489475,2010,42,2,111,110,91
8500,2010,98,2,210,120,99
254452,2010,12,1,111,212,93
830259,2010,49,2,210,221,31
644769,2010,44,1,210,312,31
470300,2010,28,2,220,120,99
457360,2010,51,1,210,120,13
397581,2010,27,2,220,221,31
249953,2010,63,2,400,120,11
439493,2010,45,1,220,120,32
797473,2010,54,2,334,311,81
633084,2010,1,1,111,0,99
841507,2010,43,1,111,400,33
651168,2010,50,2,220,400,13
66468,2010,81,1,400,311,14
793005,2010,12,1,111,212,99
722524,2010,55,2,210,311,34
56546,2010,50,1,210,312,73
679811,2010,78,2,350,212,52
399622,2010,29,2,220,221,93
182353,2010,50,1,210,212,52
686400,2010,47,1,220,120,51
766985,2010,47,1,210,212,33
248204,2010,52,1,334,120,62
698240,2010,63,2,334,212,99
224788,2010,35,2,220,312,53
157593,2010,44,1,334,110,91
154632,2010,35,2,210,120,52
326833,2010,25,2,220,212,99
682601,2010,35,1,334,312,99
837371,2010,39,1,334,312,98
295569,2010,49,1,111,110,83
736512,2010,37,2,334,312,41
824265,2010,59,1,333,110,31
841984,2010,28,1,111,212,95
857519,2010,30,1,111,120,93
643491,2010,70,2,350,400,41
198239,2010,87,1,220,110,63
220142,2010,63,1,400,312,61
900861,2010,49,2,334,120,75
420740,2010,35,1,334,212,92
628148,2010,32,1,210,400,26
561105,2010,24,2,333,400,41
530988,2010,39,2,210,110,81
583891,2010,34,2,220,120,99
639499,2010,84,2,400,311,98
119418,2010,84,2,220,400,32
931704,2010,61,1,210,311,42
859826,2010,48,2,400,311,51
376458,2010,32,1,333,212,34
817108,2010,34,1,111,312,23
145098,2010,58,2,350,110,81
75512,2010,29,2,220,221,72
10282,2010,76,1,350,110,61
671434,2010,15,2,334,221,41
150913,2010,71,1,400,120,11
939015,2010,23,1,220,110,51
682023,2010,41,2,210,221,75
760893,2010,18,1,111,120,99
872369,2010,75,2,334,110,91
131320,2010,30,2,210,221,41
743800,2010,55,1,334,400,31
607638,2010,45,1,210,212,62
183081,2010,32,2,333,312,91
695728,2010,38,1,111,110,74
517177,2010,26,2,111,212,91
813982,2010,23,2,220,311,41
220309,2010,36,1,210,312,83
72492,2010,56,1,220,221,36
700971,2010,29,1,334,110,96
742761,2010,52,1,334,400,21
98694,2010,38,1,333,120,72
889701,2010,34,2,334,212,42
840185,2010,47,2,210,400,36
659708,2010,48,1,210,212,96
879119,2010,24,2,220,221,82
603320,2010,52,2,350,110,99
411909,2010,53,1,334,120,61
582546,2010,18,2,210,110,99
915301,2010,15,1,111,212,99
169494,2010,49,1,400,221,61
64431,2010,37,2,334,120,73
395398,2010,62,2,220,120,51
570078,2010,65,1,210,110,52
839681,2010,60,2,350,311,75
914107,2010,0,2,111,0,99
568532,2010,36,2,334,221,81
662680,2010,56,1,220,120,75
567206,2010,52,2,210,312,36
507517,2010,46,2,210,311,95
96033,2010,56,1,333,212,75
461255,2010,5,1,111,120,99
603685,2010,1,2,111,0,99
209082,2010,66,1,334,311,99
603331,2010,80,1,333,312,44
