ID,suda_score,proportion_of_lattice,MSU_size_1,MSU_size_2,MSU_size_3,MSU_size_4,MSU_size_5,age_contribution_%,sex_contribution_%,marstd_contribution_%,edattaind_contribution_%,occ_contribution_%
7642,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
1511,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
7694,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
9322,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
3646,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
3720,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
2435,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6710,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
8450,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
1702,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6708,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
3036,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
8418,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
7618,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2759,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
7586,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2102,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
7366,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
4883,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6714,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
405,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
4861,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2432,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2394,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
608,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2230,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
5781,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
3952,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
5285,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
4268,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6807,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
3688,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
9282,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
3214,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
3906,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
5670,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6813,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6114,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
9414,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
5783,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2321,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2876,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
5455,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6270,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2404,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6526,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2896,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6705,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
7569,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
1285,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
3028,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
7401,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
120,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
3822,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
666,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6949,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
8939,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
5573,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
3326,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2593,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2824,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2207,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
4246,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
9163,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
9226,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
4760,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
906,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
131,6,0.05,0,0,0,3,0,66.67,66.67,66.67,100.0,100.0
47,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6041,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
2928,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
1754,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
4825,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
6788,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
6575,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
3875,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
1538,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
5484,4,0.033333,0,0,0,2,0,100.0,50.0,50.0,100.0,100.0
1468,2,0.016667,0,0,0,1,0,100.0,100.0,0.0,100.0,100.0
