Unnamed: 0,year,ownershipd,perwt,age,sex,marstd,edattaind,occ
481304,2011,100,20,44,2,100,311,73
352553,2011,100,20,47,2,210,311,21
382078,2011,100,20,74,2,400,400,32
275176,2011,100,20,46,1,100,322,32
441574,2011,100,20,31,1,350,212,61
470735,2011,100,20,30,2,332,322,41
83435,2011,100,20,30,1,332,400,21
194872,2011,100,20,23,2,100,311,61
333459,2011,100,20,34,1,210,311,83
281380,2011,100,20,51,1,332,311,96
172531,2011,100,20,34,2,210,400,32
123687,2011,100,20,83,2,400,212,44
220861,2011,0,20,73,1,332,400,998
120677,2011,100,20,86,2,400,311,44
326444,2011,100,20,40,1,350,322,42
379571,2011,100,20,61,1,350,400,54
193228,2011,100,20,75,2,100,212,54
204075,2011,100,20,48,2,332,311,51
271990,2011,100,20,71,2,400,120,61
297879,2011,100,20,13,2,100,212,999
44583,2011,100,20,59,1,100,400,26
228397,2011,100,20,82,1,100,212,71
201028,2011,100,20,75,2,332,212,92
191876,2011,100,20,66,1,350,400,11
380251,2011,100,20,63,2,210,212,54
476169,2011,0,20,40,1,100,110,999
70353,2011,100,20,63,1,332,311,83
192489,2011,100,20,55,2,350,311,14
401272,2011,100,20,57,1,210,400,1
50417,2011,100,20,79,1,210,400,14
488836,2011,100,20,18,1,100,212,81
269662,2011,100,20,25,2,350,212,96
78440,2011,100,20,77,1,400,400,31
182932,2011,100,20,31,1,332,311,83
434339,2011,100,20,53,1,210,311,2
229750,2011,0,20,67,1,350,400,51
329567,2011,0,20,43,2,100,110,999
248614,2011,100,20,47,2,400,311,24
72788,2011,100,20,67,1,400,311,31
333651,2011,100,20,80,1,210,212,13
407363,2011,100,20,51,1,350,212,82
132382,2011,100,20,69,2,100,400,24
427111,2011,0,20,20,2,100,322,32
58913,2011,100,20,14,1,100,212,999
312770,2011,100,20,18,1,100,212,43
218344,2011,100,20,76,2,400,212,22
147592,2011,0,20,17,2,100,120,998
202789,2011,100,20,42,2,100,311,23
112456,2011,100,20,48,2,350,212,52
242612,2011,100,20,53,1,350,311,998
244984,2011,100,20,53,2,400,212,92
322741,2011,100,20,37,2,332,212,81
431925,2011,100,20,52,1,210,110,96
487465,2011,0,20,55,1,400,212,998
356843,2011,100,20,64,1,350,212,33
298283,2011,100,20,15,1,100,212,999
404092,2011,100,20,51,2,332,311,52
387354,2011,100,20,77,1,350,212,72
416300,2011,100,20,86,2,400,212,43
144131,2011,100,20,71,1,400,212,75
462792,2011,100,20,25,2,100,322,54
188733,2011,100,20,60,2,332,311,81
113214,2011,100,20,45,1,210,120,92
137376,2011,100,20,48,2,210,322,53
408532,2011,100,20,49,2,332,311,81
185272,2011,100,20,81,2,400,212,81
110661,2011,100,20,52,1,210,311,43
222585,2011,100,20,34,1,210,322,75
474907,2011,100,20,64,2,400,311,13
103668,2011,100,20,56,1,332,311,14
133255,2011,100,20,34,1,100,400,52
377486,2011,100,20,52,2,350,120,999
322638,2011,100,20,2,2,100,0,999
447529,2011,100,20,45,2,332,311,43
58776,2011,100,20,26,2,210,322,32
78990,2011,100,20,54,1,210,322,13
12865,2011,100,20,72,1,100,311,23
370774,2011,100,20,63,1,350,400,13
317151,2011,100,20,74,2,350,212,31
142069,2011,100,20,55,2,400,400,24
24131,2011,100,20,70,2,400,212,91
414327,2011,200,20,61,2,100,212,54
333028,2011,100,20,41,1,100,322,33
396534,2011,100,20,58,1,100,212,74
226150,2011,100,20,47,1,100,400,54
370483,2011,100,20,35,1,100,311,74
367109,2011,100,20,54,2,350,212,33
126506,2011,100,20,35,1,210,212,83
269560,2011,100,20,36,1,100,322,33
385803,2011,200,20,39,1,350,322,12
304072,2011,100,20,74,1,210,212,62
440618,2011,100,20,69,2,100,212,51
363975,2011,100,20,52,1,210,311,32
314553,2011,100,20,69,1,332,311,998
149695,2011,100,20,45,1,350,311,61
122608,2011,100,20,73,2,210,212,51
460960,2011,100,20,25,2,100,212,82
317235,2011,100,20,12,2,100,212,999
14820,2011,100,20,32,2,210,311,52
374089,2011,100,20,65,2,332,311,14
465124,2011,100,20,35,2,210,322,83
