Unnamed: 0,country,year,persons,hhwt,gq,regionw,ownershipd
462200,214,1981,7,5,10,21,110
258305,214,1981,6,3,10,21,210
372158,214,1981,5,11,10,21,110
78973,214,1981,6,14,10,21,140
61018,214,1981,6,23,10,21,140
154567,214,1981,7,2,10,21,110
237545,214,1981,5,11,10,21,110
242874,214,1981,7,11,10,21,110
383673,214,1981,6,8,10,21,210
469733,214,1981,19,6,10,21,110
274900,214,1981,4,10,10,21,110
349736,214,1981,7,18,10,21,110
69873,214,1981,11,16,10,21,140
315752,214,1981,3,15,10,21,110
177339,214,1981,9,6,10,21,110
45273,214,1981,8,16,10,21,110
150102,214,1981,13,2,10,21,110
120445,214,1981,8,2,10,21,110
461178,214,1981,1,9,10,21,110
248191,214,1981,8,16,10,21,110
295822,214,1981,9,6,10,21,290
62201,214,1981,4,23,10,21,120
202935,214,1981,6,3,10,21,110
363893,214,1981,6,16,10,21,110
114848,214,1981,6,10,10,21,110
117662,214,1981,8,12,10,21,110
356267,214,1981,5,19,10,21,140
17619,214,1981,8,22,10,21,210
218732,214,1981,6,15,10,21,140
32682,214,1981,5,22,10,21,110
99518,214,1981,7,3,10,21,110
178783,214,1981,2,6,10,21,140
203941,214,1981,6,3,10,21,110
408547,214,1981,10,10,10,21,110
365844,214,1981,4,7,10,21,110
218834,214,1981,1,4,10,21,140
2322,214,1981,2,22,10,21,110
117706,214,1981,16,12,10,21,110
94358,214,1981,8,3,10,21,110
71575,214,1981,5,23,10,21,110
301168,214,1981,15,6,10,21,210
104746,214,1981,7,3,10,21,140
341485,214,1981,4,15,10,21,110
219166,214,1981,6,4,10,21,140
343770,214,1981,8,15,10,21,110
358272,214,1981,12,19,10,21,110
418487,214,1981,3,4,10,21,290
239067,214,1981,8,16,10,21,110
187296,214,1981,8,15,10,21,110
404068,214,1981,10,3,10,21,120
427946,214,1981,7,23,10,21,110
475015,214,1981,11,12,10,21,140
293900,214,1981,13,6,10,21,290
452062,214,1981,7,2,10,21,140
391100,214,1981,1,11,10,21,120
463023,214,1981,5,5,10,21,210
