Unnamed: 0,country,year,persons,hhwt,gq,regionw,ownershipd
379839,348,1980,6,20,10,41,100
433604,348,1980,2,20,10,41,210
333182,348,1980,4,20,10,41,100
262762,348,1980,2,20,10,41,100
358137,348,1980,5,20,10,41,100
530663,348,1980,1,20,20,41,0
505652,348,1980,4,20,10,41,100
427542,348,1980,1,20,10,41,210
226917,348,1980,3,20,10,41,210
78600,348,1980,4,20,10,41,210
492653,348,1980,2,20,10,41,100
468102,348,1980,3,20,10,41,210
57907,348,1980,1,20,10,41,100
127442,348,1980,2,20,10,41,100
399564,348,1980,3,20,10,41,100
239615,348,1980,2,20,10,41,100
271005,348,1980,4,20,10,41,100
391297,348,1980,4,20,10,41,100
293112,348,1980,3,20,10,41,100
129423,348,1980,3,20,10,41,100
522297,348,1980,1,20,20,41,0
469767,348,1980,4,20,10,41,100
480335,348,1980,4,20,10,41,210
114475,348,1980,4,20,10,41,100
379071,348,1980,4,20,10,41,100
64188,348,1980,4,20,10,41,100
303033,348,1980,4,20,10,41,100
303083,348,1980,5,20,10,41,100
464156,348,1980,3,20,10,41,100
296052,348,1980,4,20,10,41,100
200906,348,1980,3,20,10,41,100
487980,348,1980,1,20,10,41,210
213994,348,1980,2,20,10,41,210
176176,348,1980,3,20,10,41,210
236448,348,1980,2,20,10,41,100
195748,348,1980,3,20,10,41,100
396046,348,1980,3,20,10,41,100
490370,348,1980,3,20,10,41,210
212185,348,1980,4,20,10,41,100
403994,348,1980,2,20,10,41,100
41984,348,1980,3,20,10,41,100
531206,348,1980,1,20,20,41,0
393017,348,1980,4,20,10,41,100
369410,348,1980,1,20,10,41,100
32427,348,1980,3,20,10,41,100
410721,348,1980,8,20,10,41,100
482860,348,1980,4,20,10,41,210
421838,348,1980,8,20,10,41,221
17116,348,1980,10,20,10,41,210
433578,348,1980,6,20,10,41,210
287075,348,1980,4,20,10,41,100
397564,348,1980,2,20,10,41,210
64192,348,1980,3,20,10,41,100
338398,348,1980,6,20,10,41,100
450196,348,1980,4,20,10,41,210
215774,348,1980,5,20,10,41,100
32345,348,1980,2,20,10,41,100
34530,348,1980,4,20,10,41,100
79720,348,1980,4,20,10,41,100
105236,348,1980,2,20,10,41,210
148298,348,1980,3,20,10,41,210
126801,348,1980,5,20,10,41,100
257449,348,1980,2,20,10,41,100
235390,348,1980,2,20,10,41,100
356350,348,1980,3,20,10,41,100
30206,348,1980,4,20,10,41,100
500473,348,1980,4,20,10,41,100
140995,348,1980,3,20,10,41,100
238207,348,1980,4,20,10,41,100
529459,348,1980,1,20,20,41,0
354292,348,1980,3,20,10,41,100
78998,348,1980,3,20,10,41,100
480681,348,1980,3,20,10,41,100
273372,348,1980,3,20,10,41,100
188319,348,1980,2,20,10,41,100
337094,348,1980,5,20,10,41,100
119026,348,1980,5,20,10,41,100
209711,348,1980,2,20,10,41,100
522685,348,1980,1,20,20,41,0
42554,348,1980,3,20,10,41,100
68457,348,1980,4,20,10,41,100
85222,348,1980,3,20,10,41,100
199233,348,1980,4,20,10,41,100
23354,348,1980,5,20,10,41,100
170612,348,1980,5,20,10,41,100
267735,348,1980,4,20,10,41,100
198932,348,1980,4,20,10,41,100
173515,348,1980,1,20,10,41,210
33146,348,1980,2,20,10,41,100
280756,348,1980,5,20,10,41,100
90729,348,1980,2,20,10,41,210
332266,348,1980,12,20,10,41,100
239716,348,1980,2,20,10,41,100
130150,348,1980,1,20,10,41,100
114768,348,1980,3,20,10,41,100
369838,348,1980,3,20,10,41,100
26453,348,1980,2,20,10,41,210
334117,348,1980,3,20,10,41,100
412758,348,1980,9,20,10,41,100
96234,348,1980,8,20,10,41,100
269262,348,1980,4,20,10,41,210
103406,348,1980,1,20,10,41,100
520885,348,1980,1,20,20,41,0
438474,348,1980,3,20,10,41,210
420123,348,1980,4,20,10,41,100
33242,348,1980,3,20,10,41,100
82667,348,1980,6,20,10,41,100
20629,348,1980,2,20,10,41,100
315373,348,1980,2,20,10,41,100
512006,348,1980,4,20,10,41,100
86603,348,1980,4,20,10,41,100
119337,348,1980,4,20,10,41,100
92994,348,1980,14,20,10,41,210
319022,348,1980,5,20,10,41,100
16989,348,1980,4,20,10,41,100
221671,348,1980,2,20,10,41,100
413816,348,1980,7,20,10,41,100
338502,348,1980,2,20,10,41,100
326816,348,1980,2,20,10,41,100
525809,348,1980,1,20,20,41,0
241487,348,1980,1,20,10,41,100
343251,348,1980,2,20,10,41,100
527622,348,1980,1,20,20,41,0
122455,348,1980,4,20,10,41,100
123453,348,1980,1,20,10,41,210
133312,348,1980,1,20,10,41,100
10398,348,1980,3,20,10,41,100
247386,348,1980,3,20,10,41,210
137113,348,1980,4,20,10,41,100
42492,348,1980,3,20,10,41,100
499946,348,1980,5,20,10,41,100
482022,348,1980,4,20,10,41,210
379596,348,1980,4,20,10,41,100
442490,348,1980,3,20,10,41,210
393764,348,1980,2,20,10,41,100
515906,348,1980,3,20,10,41,100
234426,348,1980,5,20,10,41,100
301620,348,1980,4,20,10,41,100
192530,348,1980,2,20,10,41,100
128343,348,1980,3,20,10,41,100
224591,348,1980,2,20,10,41,210
36136,348,1980,3,20,10,41,100
495033,348,1980,2,20,10,41,100
163438,348,1980,2,20,10,41,210
518306,348,1980,3,20,10,41,100
35047,348,1980,3,20,10,41,100
333006,348,1980,4,20,10,41,100
54811,348,1980,5,20,10,41,100
290099,348,1980,4,20,10,41,210
327785,348,1980,2,20,10,41,100
187166,348,1980,4,20,10,41,100
504346,348,1980,2,20,10,41,100
68323,348,1980,1,20,10,41,100
206559,348,1980,4,20,10,41,100
108697,348,1980,4,20,10,41,210
404276,348,1980,1,20,10,41,100
469198,348,1980,4,20,10,41,100
20172,348,1980,3,20,10,41,100
100548,348,1980,4,20,10,41,210
