ID,suda_score,proportion_of_lattice,MSU_size_1,MSU_size_2,MSU_size_3,MSU_size_4,MSU_size_5,persons_contribution_%,hhwt_contribution_%,gq_contribution_%,regionw_contribution_%,ownershipd_contribution_%
2431,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
737,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
3314,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
1067,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
4871,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
131,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
1796,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
3810,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
3652,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
3769,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
1788,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
858,16,0.133333,1,0,0,0,0,100.0,0,0.0,0,0.0
3173,16,0.133333,0,2,0,0,0,100.0,0,50.0,0,50.0
2623,16,0.133333,0,2,0,0,0,100.0,0,50.0,0,50.0
1632,16,0.133333,0,2,0,0,0,100.0,0,50.0,0,50.0
1793,16,0.133333,0,2,0,0,0,100.0,0,50.0,0,50.0
3481,16,0.133333,0,2,0,0,0,100.0,0,50.0,0,50.0
4257,16,0.133333,0,2,0,0,0,100.0,0,50.0,0,50.0
4411,8,0.066667,0,1,0,0,0,100.0,0,0.0,0,100.0
4537,8,0.066667,0,1,0,0,0,100.0,0,0.0,0,100.0
1687,8,0.066667,0,1,0,0,0,100.0,0,0.0,0,100.0
531,8,0.066667,0,1,0,0,0,100.0,0,0.0,0,100.0
915,8,0.066667,0,1,0,0,0,100.0,0,0.0,0,100.0
4139,8,0.066667,0,1,0,0,0,100.0,0,0.0,0,100.0
2616,8,0.066667,0,1,0,0,0,100.0,0,0.0,0,100.0
2498,4,0.033333,0,0,1,0,0,100.0,0,100.0,0,100.0
3759,4,0.033333,0,0,1,0,0,100.0,0,100.0,0,100.0
