Unnamed: 0,country,year,persons,hhwt,gq,regionw,ownershipd
73435,214,2010,3,10,10,21,210
501765,214,2010,6,10,10,21,110
69836,214,2010,3,10,22,21,210
337433,214,2010,9,10,10,21,110
479518,214,2010,2,10,10,21,110
502405,214,2010,8,10,10,21,110
158602,214,2010,3,10,10,21,210
716499,214,2010,5,10,22,21,210
759441,214,2010,7,10,10,21,210
120103,214,2010,4,10,10,21,110
148692,214,2010,1,10,10,21,253
571115,214,2010,5,10,10,21,110
795836,214,2010,2,10,10,21,110
779665,214,2010,7,10,10,21,210
23204,214,2010,6,10,10,21,110
187750,214,2010,4,10,10,21,210
452237,214,2010,7,10,10,21,110
533296,214,2010,6,10,22,21,210
685017,214,2010,5,10,10,21,110
470174,214,2010,4,10,10,21,210
869433,214,2010,5,10,10,21,253
865598,214,2010,5,10,10,21,210
935021,214,2010,4,10,10,21,110
67600,214,2010,4,10,10,21,210
317512,214,2010,5,10,10,21,210
608203,214,2010,3,10,10,21,110
601364,214,2010,3,10,10,21,110
783039,214,2010,3,10,10,21,110
697010,214,2010,3,10,10,21,210
816271,214,2010,4,10,10,21,110
461548,214,2010,3,10,10,21,110
644545,214,2010,5,10,10,21,210
333475,214,2010,4,10,10,21,110
229759,214,2010,4,10,10,21,210
28073,214,2010,2,10,22,21,0
767647,214,2010,5,10,10,21,110
421818,214,2010,5,10,10,21,210
428716,214,2010,4,10,10,21,110
432119,214,2010,3,10,10,21,210
77454,214,2010,2,10,10,21,253
302862,214,2010,5,10,10,21,110
143821,214,2010,5,10,10,21,120
642359,214,2010,3,10,22,21,210
762200,214,2010,4,10,10,21,110
894941,214,2010,3,10,22,21,210
449964,214,2010,5,10,10,21,253
346285,214,2010,3,10,10,21,120
229884,214,2010,4,10,10,21,110
795749,214,2010,5,10,10,21,110
505208,214,2010,1,10,22,21,110
607174,214,2010,8,10,10,21,110
331897,214,2010,5,10,10,21,110
895913,214,2010,3,10,22,21,210
293082,214,2010,1,10,10,21,290
559412,214,2010,3,10,10,21,210
28913,214,2010,4,10,10,21,210
19305,214,2010,4,10,10,21,210
591745,214,2010,7,10,10,21,110
518653,214,2010,4,10,21,21,253
845524,214,2010,4,10,10,21,210
52804,214,2010,2,10,10,21,253
929024,214,2010,4,10,10,21,110
282885,214,2010,2,10,10,21,210
685418,214,2010,2,10,10,21,210
915756,214,2010,3,10,10,21,110
619065,214,2010,5,10,10,21,110
452059,214,2010,6,10,10,21,110
689967,214,2010,3,10,10,21,210
503282,214,2010,3,10,10,21,253
91652,214,2010,3,10,10,21,210
821893,214,2010,1,10,10,21,110
642701,214,2010,3,10,10,21,210
602673,214,2010,1,10,10,21,110
215378,214,2010,5,10,10,21,110
396294,214,2010,5,10,10,21,110
590033,214,2010,10,10,10,21,110
706455,214,2010,5,10,10,21,210
877078,214,2010,6,10,10,21,210
404961,214,2010,5,10,10,21,110
672403,214,2010,5,10,22,21,210
402979,214,2010,10,10,10,21,110
359774,214,2010,2,10,10,21,110
820240,214,2010,4,10,10,21,110
