Unnamed: 0,country,year,persons,hhwt,gq,regionw,ownershipd
6687066,704,2019,1,5.91,10,34,214
6250607,704,2019,2,39.0,10,34,100
6601970,704,2019,3,22.84,10,34,100
6008157,704,2019,8,11.54,10,34,100
1772395,704,2019,2,5.69,10,34,100
1650483,704,2019,3,15.98,10,34,100
6625265,704,2019,3,42.48,10,34,100
7238929,704,2019,11,11.51,10,34,100
257535,704,2019,2,17.04,10,34,211
4715396,704,2019,4,33.17,10,34,100
250052,704,2019,7,17.71,10,34,100
3646118,704,2019,4,11.11,10,34,100
5763443,704,2019,3,9.29,10,34,100
1755920,704,2019,4,12.58,10,34,0
1451006,704,2019,1,8.76,10,34,0
6618041,704,2019,4,20.02,10,34,100
4778084,704,2019,5,13.36,10,34,100
117614,704,2019,1,22.18,10,34,100
7556833,704,2019,3,13.49,10,34,100
8161212,704,2019,4,9.6,10,34,100
6083329,704,2019,5,10.33,10,34,100
533603,704,2019,4,7.57,10,34,100
644240,704,2019,7,6.26,10,34,100
3312564,704,2019,4,13.61,10,34,100
6336505,704,2019,8,19.39,10,34,100
3625207,704,2019,4,16.47,10,34,100
4468041,704,2019,8,10.09,10,34,100
2803858,704,2019,4,12.79,10,34,100
4616123,704,2019,4,4.96,10,34,100
1034528,704,2019,5,3.62,10,34,100
3856784,704,2019,4,11.11,10,34,100
3851146,704,2019,2,11.66,10,34,100
1497303,704,2019,3,13.75,10,34,100
6309650,704,2019,7,19.39,10,34,100
7737452,704,2019,8,24.91,10,34,100
3076385,704,2019,3,12.05,10,34,100
5376134,704,2019,12,13.11,10,34,100
7044506,704,2019,3,11.91,10,34,100
1373167,704,2019,8,8.89,10,34,100
3484328,704,2019,4,5.98,10,34,100
5642812,704,2019,5,8.47,10,34,100
5824129,704,2019,2,5.48,10,34,214
5941492,704,2019,1,25.68,10,34,100
6715721,704,2019,5,7.91,10,34,100
8107253,704,2019,5,10.72,10,34,100
1118116,704,2019,8,11.86,10,34,100
6746109,704,2019,4,16.87,10,34,100
2212335,704,2019,1,7.45,10,34,214
3961219,704,2019,8,7.03,10,34,100
87720,704,2019,9,16.8,10,34,100
4317607,704,2019,4,13.4,10,34,100
3365756,704,2019,10,8.55,10,34,100
2692105,704,2019,5,9.75,10,34,100
6545100,704,2019,3,43.68,10,34,100
8091958,704,2019,8,10.0,10,34,214
2017137,704,2019,4,7.95,10,34,100
650518,704,2019,7,3.91,10,34,100
2425746,704,2019,6,8.85,10,34,100
438317,704,2019,3,13.32,10,34,100
4152433,704,2019,10,19.43,10,34,100
5115354,704,2019,5,11.57,10,34,217
7114737,704,2019,5,10.23,10,34,100
2712271,704,2019,2,13.07,10,34,100
3187526,704,2019,3,10.08,10,34,100
4636164,704,2019,4,12.52,10,34,100
2227605,704,2019,2,12.92,10,34,100
366936,704,2019,4,13.2,10,34,100
6998574,704,2019,4,10.79,10,34,100
4844584,704,2019,5,7.36,10,34,100
7711317,704,2019,4,13.73,10,34,100
3848989,704,2019,3,10.13,10,34,100
2181738,704,2019,1,15.38,10,34,214
5365355,704,2019,2,8.33,10,34,100
5371138,704,2019,3,11.41,10,34,0
4150833,704,2019,1,16.62,10,34,100
2213909,704,2019,3,16.1,10,34,100
4321059,704,2019,4,9.06,10,34,100
7122757,704,2019,2,11.43,10,34,100
6028566,704,2019,4,12.24,10,34,100
3282543,704,2019,4,16.52,10,34,100
1862416,704,2019,3,2.3,10,34,214
1593290,704,2019,5,7.33,10,34,100
3529495,704,2019,4,10.19,10,34,100
4766608,704,2019,2,13.34,10,34,100
7919800,704,2019,6,10.56,10,34,100
7649066,704,2019,4,13.05,10,34,100
2101028,704,2019,4,9.62,10,34,100
2534740,704,2019,4,10.22,10,34,100
6767242,704,2019,4,17.31,10,34,100
2407334,704,2019,2,10.77,10,34,0
5022835,704,2019,11,6.72,10,34,100
3856687,704,2019,3,11.11,10,34,214
6532322,704,2019,4,32.25,10,34,211
1502806,704,2019,4,12.0,10,34,100
246865,704,2019,1,13.4,10,34,214
7351599,704,2019,10,20.09,10,34,100
6828673,704,2019,6,10.29,10,34,100
4002331,704,2019,2,8.23,10,34,100
2909529,704,2019,1,11.84,10,34,290
4141605,704,2019,3,10.44,10,34,217
6249812,704,2019,7,27.85,10,34,100
6813492,704,2019,3,13.21,10,34,100
2357137,704,2019,4,10.52,10,34,100
5467738,704,2019,7,7.68,10,34,100
6274412,704,2019,4,24.2,10,34,214
206521,704,2019,2,16.07,10,34,100
6294865,704,2019,4,7.9,10,34,290
6248513,704,2019,7,20.82,10,34,100
143679,704,2019,5,16.0,10,34,100
6961203,704,2019,14,8.41,10,34,100
5223996,704,2019,5,7.0,10,34,100
2446031,704,2019,2,15.0,10,34,100
7462895,704,2019,3,12.43,10,34,100
390377,704,2019,4,14.12,10,34,100
7981718,704,2019,5,10.52,10,34,214
6669739,704,2019,4,6.17,10,34,214
6323383,704,2019,1,28.31,10,34,214
4136872,704,2019,3,18.99,10,34,100
2079487,704,2019,4,11.41,10,34,0
2429051,704,2019,2,11.91,10,34,100
7973874,704,2019,6,9.22,10,34,100
2585206,704,2019,2,10.73,10,34,214
6157111,704,2019,8,17.48,10,34,100
5948966,704,2019,4,27.13,10,34,214
2445917,704,2019,3,17.22,10,34,100
6314798,704,2019,2,31.81,10,34,100
2933471,704,2019,6,14.07,10,34,100
3071405,704,2019,4,9.97,10,34,100
4689202,704,2019,4,8.63,10,34,214
5167904,704,2019,4,11.32,10,34,100
7332016,704,2019,4,10.68,10,34,100
6752347,704,2019,2,22.25,10,34,211
4396569,704,2019,5,13.29,10,34,100
6855630,704,2019,7,9.62,10,34,100
6613425,704,2019,7,19.68,10,34,100
6546820,704,2019,3,20.44,10,34,100
750678,704,2019,4,5.3,10,34,100
3478892,704,2019,7,6.4,10,34,0
420954,704,2019,5,19.7,10,34,100
7109865,704,2019,4,8.13,10,34,100
5644583,704,2019,2,6.68,10,34,211
7677542,704,2019,9,11.27,10,34,100
6341671,704,2019,4,20.14,10,34,100
118344,704,2019,2,28.6,10,34,100
6546484,704,2019,1,58.16,10,34,214
5346652,704,2019,4,13.19,10,34,100
2393456,704,2019,4,12.48,10,34,100
5002159,704,2019,1,10.89,10,34,100
7876656,704,2019,7,18.43,10,34,100
5148748,704,2019,6,8.73,10,34,100
1555986,704,2019,6,6.44,10,34,100
126489,704,2019,2,23.85,10,34,214
55684,704,2019,4,17.31,10,34,0
2136558,704,2019,4,11.67,10,34,100
8234526,704,2019,1,4.88,10,34,217
4988935,704,2019,2,4.01,10,34,290
7286906,704,2019,7,10.74,10,34,214
6271516,704,2019,3,30.51,10,34,211
1081743,704,2019,3,6.25,10,34,100
1409564,704,2019,4,9.03,10,34,100
475948,704,2019,4,13.2,10,34,214
4293415,704,2019,3,4.68,10,34,214
3780129,704,2019,3,10.9,10,34,0
3859001,704,2019,4,9.96,10,34,100
736140,704,2019,4,4.58,10,34,100
6422047,704,2019,1,11.23,10,34,214
2040690,704,2019,6,8.59,10,34,214
5664514,704,2019,5,9.12,10,34,100
4848231,704,2019,4,13.25,10,34,211
6565924,704,2019,1,8.98,10,34,214
703082,704,2019,12,5.28,10,34,100
538740,704,2019,7,11.07,10,34,100
2500655,704,2019,2,15.05,10,34,100
6407116,704,2019,7,10.62,10,34,217
1791761,704,2019,5,10.54,10,34,100
4355504,704,2019,4,9.29,10,34,100
1493869,704,2019,7,7.47,10,34,100
7012667,704,2019,6,11.33,10,34,100
7516003,704,2019,3,8.96,10,34,100
5695695,704,2019,9,10.97,10,34,100
2181920,704,2019,2,17.22,10,34,100
6011964,704,2019,1,11.54,10,34,211
5362129,704,2019,4,6.02,10,34,100
2029647,704,2019,3,9.79,10,34,100
4618497,704,2019,5,3.76,10,34,214
6985446,704,2019,3,13.68,10,34,0
4420389,704,2019,3,8.14,10,34,0
2966015,704,2019,4,12.4,10,34,100
7326320,704,2019,2,9.13,10,34,100
7656750,704,2019,10,13.99,10,34,100
7451567,704,2019,1,10.15,10,34,0
1500219,704,2019,6,13.91,10,34,100
5741672,704,2019,2,11.26,10,34,100
6444208,704,2019,5,14.59,10,34,214
7760916,704,2019,2,15.64,10,34,214
3687617,704,2019,8,11.27,10,34,100
1274440,704,2019,8,6.31,10,34,100
6103883,704,2019,6,13.29,10,34,100
5876358,704,2019,3,22.56,10,34,100
6667341,704,2019,5,5.92,10,34,100
1298313,704,2019,7,4.32,10,34,100
2788652,704,2019,4,13.23,10,34,100
5368492,704,2019,2,8.78,10,34,100
5004019,704,2019,1,8.54,10,34,100
6573147,704,2019,2,10.87,10,34,214
4955585,704,2019,5,8.18,10,34,100
366214,704,2019,4,14.64,10,34,214
3331256,704,2019,1,11.71,10,34,100
3089193,704,2019,5,9.52,10,34,100
2730287,704,2019,1,26.95,10,34,100
7043433,704,2019,7,13.51,10,34,100
4330042,704,2019,6,5.39,10,34,214
6964441,704,2019,6,11.39,10,34,100
3547216,704,2019,3,14.7,10,34,0
4789642,704,2019,4,9.85,10,34,100
6556143,704,2019,2,27.72,10,34,214
6476736,704,2019,7,17.03,10,34,214
5168438,704,2019,5,9.86,10,34,100
4598244,704,2019,4,12.69,10,34,100
7403145,704,2019,5,11.96,10,34,100
4511651,704,2019,7,21.71,10,34,100
6644793,704,2019,9,25.38,10,34,100
6551181,704,2019,2,44.51,10,34,214
5026566,704,2019,2,5.73,10,34,100
1403371,704,2019,4,14.03,10,34,100
5643869,704,2019,2,9.92,10,34,290
5685864,704,2019,4,7.43,10,34,100
6321472,704,2019,3,30.75,10,34,100
1798939,704,2019,5,10.82,10,34,100
6500303,704,2019,1,13.46,10,34,290
3385447,704,2019,5,11.09,10,34,100
4140115,704,2019,11,8.8,10,34,100
5615350,704,2019,6,6.39,10,34,100
5968385,704,2019,7,31.83,10,34,100
6908352,704,2019,2,13.58,10,34,290
6534025,704,2019,4,16.03,10,34,214
187475,704,2019,1,20.09,10,34,214
4171827,704,2019,6,12.6,10,34,100
322373,704,2019,10,14.52,10,34,100
3430049,704,2019,5,16.69,10,34,214
7669424,704,2019,5,11.13,10,34,100
992886,704,2019,7,119.78,10,34,100
7755119,704,2019,5,10.98,10,34,100
4718995,704,2019,6,20.29,10,34,100
6688590,704,2019,3,5.04,10,34,100
1912822,704,2019,3,7.76,10,34,217
7992527,704,2019,4,10.5,10,34,100
6644656,704,2019,6,33.1,10,34,100
270237,704,2019,2,15.06,10,34,100
6262596,704,2019,3,43.51,10,34,100
1287334,704,2019,6,7.9,10,34,100
7777377,704,2019,5,10.49,10,34,100
322561,704,2019,4,14.74,10,34,100
6624735,704,2019,6,21.26,10,34,214
5737124,704,2019,4,7.37,10,34,100
6240737,704,2019,3,16.71,10,34,100
1706535,704,2019,5,7.05,10,34,100
7459820,704,2019,2,11.25,10,34,214
4675964,704,2019,6,8.7,10,34,100
6438998,704,2019,3,9.39,10,34,211
5981370,704,2019,4,35.51,10,34,214
6027651,704,2019,6,10.21,10,34,100
117348,704,2019,4,29.27,10,34,100
7903256,704,2019,3,8.48,10,34,100
3498593,704,2019,2,7.95,10,34,0
4529563,704,2019,4,17.8,10,34,100
535807,704,2019,9,7.11,10,34,100
7907121,704,2019,6,8.32,10,34,100
3231971,704,2019,2,10.25,10,34,100
2190611,704,2019,2,13.18,10,34,211
5079663,704,2019,6,15.65,10,34,100
5038767,704,2019,4,5.7,10,34,214
3868624,704,2019,4,9.45,10,34,100
3567182,704,2019,6,10.15,10,34,100
446644,704,2019,4,14.68,10,34,100
6313822,704,2019,1,32.07,10,34,100
4465446,704,2019,1,10.09,10,34,0
6565835,704,2019,3,12.67,10,34,214
3352575,704,2019,5,10.04,10,34,100
6511897,704,2019,2,13.14,10,34,211
3554653,704,2019,5,8.06,10,34,0
292994,704,2019,4,18.5,10,34,100
2491170,704,2019,7,10.65,10,34,100
3557367,704,2019,2,7.06,10,34,100
992958,704,2019,4,9.0,10,34,100
1616888,704,2019,5,7.27,10,34,100
7640562,704,2019,1,8.49,10,34,217
2566737,704,2019,4,12.32,10,34,100
4060818,704,2019,6,11.58,10,34,214
6310008,704,2019,3,23.79,10,34,100
3401268,704,2019,2,10.25,10,34,100
113294,704,2019,3,25.69,10,34,214
3512000,704,2019,2,10.78,10,34,100
7670991,704,2019,3,11.78,10,34,100
6255029,704,2019,1,32.73,10,34,214
4440981,704,2019,4,7.29,10,34,0
5475444,704,2019,6,2.65,10,34,100
3772390,704,2019,2,10.53,10,34,100
7263475,704,2019,4,8.78,10,34,100
359489,704,2019,3,12.18,10,34,100
7481523,704,2019,6,11.08,10,34,100
3197220,704,2019,4,10.48,10,34,100
6329986,704,2019,5,26.0,10,34,100
5971538,704,2019,4,30.77,10,34,100
370073,704,2019,4,16.43,10,34,0
7894258,704,2019,6,8.26,10,34,100
2185886,704,2019,2,12.33,10,34,214
416155,704,2019,4,13.65,10,34,100
79418,704,2019,6,18.93,10,34,100
6563088,704,2019,5,17.68,10,34,214
3545990,704,2019,4,14.69,10,34,100
2807477,704,2019,5,14.28,10,34,100
6481825,704,2019,5,7.58,10,34,214
7357820,704,2019,3,12.33,10,34,100
4431510,704,2019,7,10.58,10,34,100
1103234,704,2019,3,10.42,10,34,100
6532330,704,2019,7,32.25,10,34,100
6652874,704,2019,5,15.25,10,34,214
1766351,704,2019,4,2.14,10,34,100
2334506,704,2019,3,11.2,10,34,214
4750560,704,2019,3,11.08,10,34,100
2808506,704,2019,2,15.5,10,34,100
2375030,704,2019,7,10.08,10,34,214
6496060,704,2019,7,13.19,10,34,214
3727920,704,2019,2,5.27,10,34,100
2351057,704,2019,3,12.43,10,34,100
4055012,704,2019,4,14.18,10,34,100
3506612,704,2019,6,7.41,10,34,100
5730163,704,2019,2,14.12,10,34,214
3824849,704,2019,5,10.68,10,34,100
4172449,704,2019,5,10.41,10,34,100
7991178,704,2019,3,10.56,10,34,100
3291687,704,2019,4,12.89,10,34,100
2389007,704,2019,5,14.62,10,34,100
3981727,704,2019,4,5.29,10,34,100
5189874,704,2019,3,10.07,10,34,100
1251305,704,2019,4,7.96,10,34,100
5755066,704,2019,11,13.34,10,34,100
5062658,704,2019,4,5.18,10,34,100
2580176,704,2019,2,3.36,10,34,100
369567,704,2019,4,14.2,10,34,0
6372760,704,2019,1,21.08,10,34,100
3983081,704,2019,6,5.68,10,34,100
7838111,704,2019,2,7.37,10,34,211
2025542,704,2019,7,10.05,10,34,100
6116543,704,2019,3,13.2,10,34,100
5188957,704,2019,7,9.09,10,34,100
4501442,704,2019,2,18.88,10,34,211
5659236,704,2019,3,5.77,10,34,100
5517969,704,2019,9,5.89,10,34,100
3827968,704,2019,5,10.32,10,34,100
3121295,704,2019,2,6.16,10,34,100
6292632,704,2019,3,32.39,10,34,214
4675515,704,2019,3,4.31,10,34,290
7498113,704,2019,8,10.62,10,34,100
1457527,704,2019,4,8.06,10,34,100
4610051,704,2019,3,12.32,10,34,100
5428109,704,2019,5,5.62,10,34,100
4104821,704,2019,5,9.08,10,34,100
6800310,704,2019,3,11.41,10,34,100
6183794,704,2019,5,11.94,10,34,100
529328,704,2019,5,7.07,10,34,100
6755921,704,2019,5,9.66,10,34,214
336635,704,2019,6,11.83,10,34,100
2974582,704,2019,2,14.84,10,34,0
2631500,704,2019,4,12.08,10,34,100
1419845,704,2019,5,6.91,10,34,100
4673670,704,2019,3,4.9,10,34,100
1395094,704,2019,5,6.88,10,34,100
7619458,704,2019,6,11.28,10,34,100
1214771,704,2019,12,5.51,10,34,100
6500427,704,2019,2,21.41,10,34,211
5061776,704,2019,11,4.46,10,34,100
7926983,704,2019,1,10.21,10,34,211
5726102,704,2019,1,13.63,10,34,0
2022412,704,2019,2,9.6,10,34,100
2335260,704,2019,3,9.29,10,34,100
750102,704,2019,6,6.47,10,34,100
5257594,704,2019,7,20.79,10,34,100
3429353,704,2019,2,12.65,10,34,217
1888985,704,2019,1,11.58,10,34,211
7724988,704,2019,5,7.72,10,34,100
2376042,704,2019,1,10.42,10,34,0
5129453,704,2019,3,12.91,10,34,100
5960323,704,2019,5,33.36,10,34,100
4462259,704,2019,6,10.09,10,34,100
4140211,704,2019,7,13.72,10,34,211
7046763,704,2019,2,8.8,10,34,100
952514,704,2019,11,4.98,10,34,100
4184216,704,2019,2,13.22,10,34,214
716369,704,2019,5,5.99,10,34,100
4757954,704,2019,4,12.47,10,34,100
7711649,704,2019,5,17.12,10,34,0
647247,704,2019,9,5.96,10,34,100
5595961,704,2019,4,10.03,10,34,100
5089456,704,2019,5,7.26,10,34,290
499049,704,2019,6,12.25,10,34,100
881958,704,2019,9,6.38,10,34,100
6789150,704,2019,5,13.18,10,34,100
1226250,704,2019,6,6.51,10,34,100
658923,704,2019,5,5.13,10,34,100
4043453,704,2019,1,9.52,10,34,100
7153606,704,2019,5,10.54,10,34,100
5702691,704,2019,12,11.99,10,34,100
5216459,704,2019,6,7.97,10,34,100
5842551,704,2019,6,17.43,10,34,100
5020037,704,2019,4,4.64,10,34,100
6495646,704,2019,5,13.38,10,34,100
3593030,704,2019,3,15.08,10,34,214
6351020,704,2019,6,31.43,10,34,100
3140212,704,2019,4,8.89,10,34,100
4170017,704,2019,3,15.04,10,34,214
6426950,704,2019,5,12.57,10,34,100
4693963,704,2019,4,9.82,10,34,100
6638657,704,2019,1,25.83,10,34,100
2879960,704,2019,5,13.1,10,34,100
1274977,704,2019,6,6.6,10,34,100
139068,704,2019,3,16.0,10,34,100
365001,704,2019,4,14.98,10,34,214
5311254,704,2019,5,7.54,10,34,100
3005185,704,2019,3,17.41,10,34,100
